model,h,omitted_year,n,rmse_delta,mae_delta
PRESS_ULC_R23B,5,2020,70,-0.0005772305143594281,0.01562678298435638
PRESS_ULC_R23B,5,2021,70,0.00458501017865065,0.01807819691140722
PRESS_ULC_R23B,5,2022,70,-0.0194884627957852,0.002991400966228852
PRESS_ULC_R23B,5,2023,70,0.020117261180659263,0.04801830083190617
PRESS_ULC_R23B,5,2024,70,-0.002853034288810896,-0.0002837650792300028
PRESS_ULC_R23B,5,2025,70,-0.0072807639523073675,-0.003816617265675948
PRESS_ULC_R23B,5,2026,80,-7.693505550188107e-05,0.01413717703319639
PRESS_DOMESTIC_R23B,5,2019,74,-0.009871570258643825,0.004291665719374338
PRESS_DOMESTIC_R23B,5,2020,70,-0.010266763557014169,0.00453088607938934
PRESS_DOMESTIC_R23B,5,2021,70,-0.013196304437158801,0.004395243803957172
PRESS_DOMESTIC_R23B,5,2022,70,-0.01415167080070967,0.004395243803957616
PRESS_DOMESTIC_R23B,5,2023,70,0.00975768334117566,0.035828158311334235
PRESS_DOMESTIC_R23B,5,2024,70,-0.012616839310933603,-0.011432828818312535
PRESS_DOMESTIC_R23B,5,2025,70,-0.017639193074879156,-0.015918580528982762
PRESS_DOMESTIC_R23B,5,2026,80,-0.00930807863763583,0.0038777201888928747
PRESS_MOMENTUM_R23B,5,2019,74,-0.00217187738823732,0.012032708918761292
PRESS_MOMENTUM_R23B,5,2020,70,-0.0021270616330713032,0.01192151743536396
PRESS_MOMENTUM_R23B,5,2021,70,0.032804989443047106,0.0307813097178955
PRESS_MOMENTUM_R23B,5,2022,70,-0.027515606653286895,-0.010544241649912522
PRESS_MOMENTUM_R23B,5,2023,70,-0.012223679218064554,0.0005818753578303859
PRESS_MOMENTUM_R23B,5,2024,70,-0.0023424461129635255,0.012052408516566304
PRESS_MOMENTUM_R23B,5,2025,70,-0.0015714987543820058,0.014458302373118403
PRESS_MOMENTUM_R23B,5,2026,80,-0.002720870703090572,0.009516766858256531
PRESS_JOINT_R23B,5,2019,74,0.006934115856636058,0.027862935864287453
PRESS_JOINT_R23B,5,2020,70,0.00722346529113338,0.030012954021653826
PRESS_JOINT_R23B,5,2021,70,0.03482659174393188,0.04042286846450449
PRESS_JOINT_R23B,5,2022,70,-0.03172791428302135,-0.005319391540225871
PRESS_JOINT_R23B,5,2023,70,0.01716112085357091,0.04931125667900704
PRESS_JOINT_R23B,5,2024,70,0.004508586893090527,0.017091981528397415
PRESS_JOINT_R23B,5,2025,70,0.002610204639887481,0.015634759286164757
PRESS_JOINT_R23B,5,2026,80,0.006693505172824299,0.025879169162230653
PRESS_SIGNED_R23B,5,2019,74,0.006359134429328339,0.026451724630256912
PRESS_SIGNED_R23B,5,2020,70,0.006617156310755323,0.02818716890406625
PRESS_SIGNED_R23B,5,2021,70,0.025094483789314115,0.034740709067996534
PRESS_SIGNED_R23B,5,2022,70,-0.025548952602626684,-0.0007077216453330593
PRESS_SIGNED_R23B,5,2023,70,0.01779136186200425,0.0447665422123813
PRESS_SIGNED_R23B,5,2024,70,0.003939113245517323,0.014340755739116862
PRESS_SIGNED_R23B,5,2025,70,0.003579098766349542,0.018427498360677586
