model,frame,coverage,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
TARGET_BASE_REMAINDER,all,own,90,0.41335791954085094,0.261251471951006,-0.030879039295915275,-0.007918138617672653,-0.7126324755905387,44,14,7,48,18,7,11,16,0.3888888888888889,0.30434782608695654
TARGET_BASE_REMAINDER,ex_jan,own,83,0.3962183741646749,0.2449585950903561,-0.0031600929041339905,-0.0003802818373440596,-0.03156339249955695,40,13,6,44,15,5,10,14,0.3333333333333333,0.2631578947368421
TARGET_BASE_REMAINDER,2024+,own,31,0.2097262521361684,0.16402257020849934,0.028065880369073065,0.023074203985048978,0.7153003235365183,19,4,1,19,4,2,2,3,0.5,0.4
TARGET_BASE_REMAINDER,flash2025+,own,19,0.16916968004004193,0.12908429139133584,0.06229218620510815,0.02881044545076941,0.5473984635646187,12,3,0,12,2,0,2,1,0.0,0.0
TARGET_BASE_REMAINDER,big,own,23,0.6925230820285067,0.5093130175417122,-0.06600786101563483,0.06894785202350531,1.5858005965406223,14,8,1,14,7,7,0,16,1.0,0.30434782608695654
TARGET_BASE_REMAINDER,big_ex_jan,own,19,0.730882421520402,0.5196751473716292,-0.01800276091910024,0.07506169473363399,1.4261721999390458,12,7,1,12,5,5,0,14,1.0,0.2631578947368421
TARGET_BASE_REMAINDER,alerts,own,18,0.4657939519818803,0.3310047729961658,-0.11614685120352844,-0.031004772996165806,-0.5580859139309845,10,7,5,14,18,7,11,0,0.3888888888888889,1.0
TARGET_BASE_REMAINDER,all,common,90,0.41335791954085094,0.261251471951006,-0.030879039295915275,-0.007918138617672653,-0.7126324755905387,44,14,7,48,18,7,11,16,0.3888888888888889,0.30434782608695654
TARGET_BASE_REMAINDER,ex_jan,common,83,0.3962183741646749,0.2449585950903561,-0.0031600929041339905,-0.0003802818373440596,-0.03156339249955695,40,13,6,44,15,5,10,14,0.3333333333333333,0.2631578947368421
TARGET_BASE_REMAINDER,2024+,common,31,0.2097262521361684,0.16402257020849934,0.028065880369073065,0.023074203985048978,0.7153003235365183,19,4,1,19,4,2,2,3,0.5,0.4
TARGET_BASE_REMAINDER,flash2025+,common,19,0.16916968004004193,0.12908429139133584,0.06229218620510815,0.02881044545076941,0.5473984635646187,12,3,0,12,2,0,2,1,0.0,0.0
TARGET_BASE_REMAINDER,big,common,23,0.6925230820285067,0.5093130175417122,-0.06600786101563483,0.06894785202350531,1.5858005965406223,14,8,1,14,7,7,0,16,1.0,0.30434782608695654
TARGET_BASE_REMAINDER,big_ex_jan,common,19,0.730882421520402,0.5196751473716292,-0.01800276091910024,0.07506169473363399,1.4261721999390458,12,7,1,12,5,5,0,14,1.0,0.2631578947368421
TARGET_BASE_REMAINDER,alerts,common,18,0.4657939519818803,0.3310047729961658,-0.11614685120352844,-0.031004772996165806,-0.5580859139309845,10,7,5,14,18,7,11,0,0.3888888888888889,1.0
TARGET_BASE_REMAINDER_HALF,all,own,90,0.4130741567419121,0.25938599682811647,-0.028052338032243416,-0.006052663494783118,-0.5447397145304806,44,11,9,49,19,7,12,16,0.3684210526315789,0.30434782608695654
TARGET_BASE_REMAINDER_HALF,ex_jan,own,83,0.39741894278050105,0.2441600068832368,0.0029456610192472427,0.00041830636977522565,0.03471942869134373,41,10,8,45,16,5,11,14,0.3125,0.2631578947368421
TARGET_BASE_REMAINDER_HALF,2024+,own,31,0.21207299857882794,0.16361766674167744,0.011093941541585993,0.023479107451870918,0.7278523310079985,19,3,1,20,4,2,2,3,0.5,0.4
TARGET_BASE_REMAINDER_HALF,flash2025+,own,19,0.16880299214451053,0.13317619260919472,0.04349240852013197,0.024718544232910526,0.4696523404253,12,2,0,12,1,0,1,1,0.0,0.0
TARGET_BASE_REMAINDER_HALF,big,own,23,0.69200798127391,0.49332774503507265,-0.043623192316742526,0.08493312453014475,1.953461864193329,15,7,2,16,7,7,0,16,1.0,0.30434782608695654
TARGET_BASE_REMAINDER_HALF,big_ex_jan,own,19,0.7308554607085859,0.5059510893622392,0.022098692574560666,0.08878575274302407,1.6869293021174572,14,6,2,14,5,5,0,14,1.0,0.2631578947368421
TARGET_BASE_REMAINDER_HALF,alerts,own,19,0.41472647010328384,0.303726845576288,-0.11937655216776821,-0.019516319260498478,-0.3708100659494711,9,7,6,14,19,7,12,0,0.3684210526315789,1.0
TARGET_BASE_REMAINDER_HALF,all,common,90,0.4130741567419121,0.25938599682811647,-0.028052338032243416,-0.006052663494783118,-0.5447397145304806,44,11,9,49,19,7,12,16,0.3684210526315789,0.30434782608695654
TARGET_BASE_REMAINDER_HALF,ex_jan,common,83,0.39741894278050105,0.2441600068832368,0.0029456610192472427,0.00041830636977522565,0.03471942869134373,41,10,8,45,16,5,11,14,0.3125,0.2631578947368421
TARGET_BASE_REMAINDER_HALF,2024+,common,31,0.21207299857882794,0.16361766674167744,0.011093941541585993,0.023479107451870918,0.7278523310079985,19,3,1,20,4,2,2,3,0.5,0.4
TARGET_BASE_REMAINDER_HALF,flash2025+,common,19,0.16880299214451053,0.13317619260919472,0.04349240852013197,0.024718544232910526,0.4696523404253,12,2,0,12,1,0,1,1,0.0,0.0
TARGET_BASE_REMAINDER_HALF,big,common,23,0.69200798127391,0.49332774503507265,-0.043623192316742526,0.08493312453014475,1.953461864193329,15,7,2,16,7,7,0,16,1.0,0.30434782608695654
TARGET_BASE_REMAINDER_HALF,big_ex_jan,common,19,0.7308554607085859,0.5059510893622392,0.022098692574560666,0.08878575274302407,1.6869293021174572,14,6,2,14,5,5,0,14,1.0,0.2631578947368421
TARGET_BASE_REMAINDER_HALF,alerts,common,19,0.41472647010328384,0.303726845576288,-0.11937655216776821,-0.019516319260498478,-0.3708100659494711,9,7,6,14,19,7,12,0,0.3684210526315789,1.0
TARGET_MACRO_REMAINDER,all,own,90,0.41414858829495405,0.26206935070650084,-0.03481748262866711,-0.008736017373167449,-0.7862415635850704,45,13,6,50,22,8,14,15,0.36363636363636365,0.34782608695652173
TARGET_MACRO_REMAINDER,ex_jan,own,83,0.3936864075284229,0.2432661208444437,-0.009399902067936712,0.0013121924085683133,0.10891196991117,41,13,5,46,19,6,13,13,0.3157894736842105,0.3157894736842105
TARGET_MACRO_REMAINDER,2024+,own,31,0.20376774745142381,0.1593098906390678,0.014731059469671301,0.027786883554480557,0.8613933901888973,20,3,0,20,4,2,2,3,0.5,0.4
TARGET_MACRO_REMAINDER,flash2025+,own,19,0.16225610117412506,0.1257015419809853,0.05031655260453616,0.03219319486111999,0.6116707023612797,13,2,0,13,2,0,2,1,0.0,0.0
TARGET_MACRO_REMAINDER,big,own,23,0.6941698515597593,0.5175195875952329,-0.06217250819483917,0.06074128196998448,1.3970494853096431,15,7,1,15,8,8,0,15,1.0,0.34782608695652173
TARGET_MACRO_REMAINDER,big_ex_jan,own,19,0.7263204959432301,0.5185120919156244,-0.022132573091724003,0.0762247501896387,1.4482702536031353,13,7,1,13,6,6,0,13,1.0,0.3157894736842105
TARGET_MACRO_REMAINDER,alerts,own,22,0.44598340860315017,0.3184671394226845,-0.1173405972154476,-0.023012593968139053,-0.5062770672990592,12,9,6,17,22,8,14,0,0.36363636363636365,1.0
TARGET_MACRO_REMAINDER,all,common,90,0.41414858829495405,0.26206935070650084,-0.03481748262866711,-0.008736017373167449,-0.7862415635850704,45,13,6,50,22,8,14,15,0.36363636363636365,0.34782608695652173
