period,as_of,model,block,prediction,weight,contribution
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.41398143032833423,0.033660201,0.013934698155119227
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.6027930586458536,0.10385733600000001,0.06260448123025013
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.30295782715846514,0.051351304,0.0155572794815938
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.17050577145898738,0.007778524,0.0013262832354322483
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,1.9703322074703604,0.019182249,0.03779540301641611
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.061501543283307675,1.0,-0.061501543283307675
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.41398143032833423,0.033660201,0.013934698155119227
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.6027930586458536,0.10385733600000001,0.06260448123025013
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.30295782715846514,0.051351304,0.0155572794815938
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.17050577145898738,0.007778524,0.0013262832354322483
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,1.9703322074703604,0.019182249,0.03779540301641611
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.05192399285222281,1.0,-0.05192399285222281
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.2094730989298846,0.033660201,0.007050906614072801
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.3751204909606253,0.10385733600000001,0.03895901487018263
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.4389004229738527,0.051351304,0.022538109045858894
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,-0.7290902548883709,0.007778524,-0.00567124604581531
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,-22.189708430442895,0.019182249,-0.4256485123501548
2019-09,2019-10-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.005978132499592639,1.0,-0.005978132499592639
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.2094730989298846,0.033660201,0.007050906614072801
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.3751204909606253,0.10385733600000001,0.03895901487018263
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.4389004229738527,0.051351304,0.022538109045858894
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,-0.7290902548883709,0.007778524,-0.00567124604581531
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-22.189708430442895,0.019182249,-0.4256485123501548
2019-09,2019-10-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.01538612763747806,1.0,-0.01538612763747806
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.16025918594499955,0.033660201,0.00539435641100506
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.42667384743218106,0.10385733600000001,0.04431320913517677
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,catering,0.3653410281042395,0.051351304,0.018760738197853347
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,accommodation,-0.6897143989495029,0.007778524,-0.005364960005374284
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,package_holidays,-1.2766637710167106,0.019182249,-0.024489282344921523
2019-10,2019-11-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.18828937956629557,1.0,0.18828937956629557
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.16025918594499955,0.033660201,0.00539435641100506
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.42667384743218106,0.10385733600000001,0.04431320913517677
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,catering,0.3653410281042395,0.051351304,0.018760738197853347
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,accommodation,-0.6897143989495029,0.007778524,-0.005364960005374284
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-1.2766637710167106,0.019182249,-0.024489282344921523
2019-10,2019-11-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.1893380935366232,1.0,0.1893380935366232
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.15664592032741967,0.033660201,0.005272733164050932
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.24588995810603828,0.10385733600000001,0.025537475998044745
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.3978964136495772,0.051351304,0.020432499697829187
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,-0.9077718590731341,0.007778524,-0.0070611251923249916
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,0.7509083554121048,0.019182249,0.01440411104969549
2019-11,2019-12-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.005065141107209986,1.0,-0.005065141107209986
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.15664592032741967,0.033660201,0.005272733164050932
