origin,model,as_of,block,offset_log,n,last_release,targets
2020-11,FOOD_FEEDBACK_R21,2020-12-09T23:59:00,food,0.008519411744267862,20,2020-11-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10
2020-11,DUAL_FEEDBACK_R21,2020-12-09T23:59:00,core,-0.007997499811015262,20,2020-11-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10
2020-11,DUAL_FEEDBACK_R21,2020-12-09T23:59:00,food,0.008519411744267862,20,2020-11-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10
2020-12,CORE_FEEDBACK_R21,2021-01-12T23:59:00,core,-0.006378691842657822,21,2020-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11
2020-12,FOOD_FEEDBACK_R21,2021-01-12T23:59:00,food,-0.003599245355203509,21,2020-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11
2020-12,DUAL_FEEDBACK_R21,2021-01-12T23:59:00,core,-0.006378691842657822,21,2020-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11
2020-12,DUAL_FEEDBACK_R21,2021-01-12T23:59:00,food,-0.003599245355203509,21,2020-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11
2021-01,CORE_FEEDBACK_R21,2021-02-11T23:59:00,core,-0.013547847612008118,22,2021-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12
2021-01,FOOD_FEEDBACK_R21,2021-02-11T23:59:00,food,-0.06327397578501869,22,2021-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12
2021-01,DUAL_FEEDBACK_R21,2021-02-11T23:59:00,core,-0.013547847612008118,22,2021-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12
2021-01,DUAL_FEEDBACK_R21,2021-02-11T23:59:00,food,-0.06327397578501869,22,2021-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12
2021-02,CORE_FEEDBACK_R21,2021-03-09T23:59:00,core,-0.0022348885822054154,23,2021-02-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01
