origin,model,as_of,fast,current,gentle,n_labels,n_origins
2023-06,POOL_COMPLETE_R21,2023-07-12T23:59:00,0.36930148526667683,0.0,0.6306985147333232,366,36
2023-06,POOL_PARTIAL_R21,2023-07-12T23:59:00,0.3771808291751609,1.330895311535431e-16,0.6228191708248391,432,47
2023-07,POOL_PRIOR_R21,2023-08-09T23:59:00,0.5,0.25,0.25,0,0
2023-07,POOL_COMPLETE_R21,2023-08-09T23:59:00,0.379964747962253,0.0,0.620035252037747,366,36
2023-07,POOL_PARTIAL_R21,2023-08-09T23:59:00,0.38505322763952504,0.0,0.6149467723604749,432,47
2023-08,POOL_PRIOR_R21,2023-09-10T23:59:00,0.5,0.25,0.25,0,0
2023-08,POOL_COMPLETE_R21,2023-09-10T23:59:00,0.39784404959299713,3.806159335590302e-17,0.6021559504070029,366,36
2023-08,POOL_PARTIAL_R21,2023-09-10T23:59:00,0.39615863228953896,5.788645658749772e-17,0.603841367710461,432,47
2023-09,POOL_PRIOR_R21,2023-10-09T23:59:00,0.5,0.25,0.25,0,0
2023-09,POOL_COMPLETE_R21,2023-10-09T23:59:00,0.41472603348374165,0.0,0.5852739665162583,366,36
2023-09,POOL_PARTIAL_R21,2023-10-09T23:59:00,0.40787946596780544,2.568935326840544e-16,0.5921205340321942,432,47
2023-10,POOL_PRIOR_R21,2023-11-09T23:59:00,0.5,0.25,0.25,0,0
2023-10,POOL_COMPLETE_R21,2023-11-09T23:59:00,0.44886114030857066,0.0,0.5511388596914294,366,36
2023-10,POOL_PARTIAL_R21,2023-11-09T23:59:00,0.4270111545247595,1.3803088760062674e-16,0.5729888454752403,432,47
2023-11,POOL_PRIOR_R21,2023-12-10T23:59:00,0.5,0.25,0.25,0,0
2023-11,POOL_COMPLETE_R21,2023-12-10T23:59:00,0.4228230841919943,1.693945758988526e-17,0.5771769158080058,366,36
2023-11,POOL_PARTIAL_R21,2023-12-10T23:59:00,0.44698652452338233,0.0,0.5530134754766177,432,47
2023-12,POOL_PRIOR_R21,2024-01-10T23:59:00,0.5,0.25,0.25,0,0
2023-12,POOL_COMPLETE_R21,2024-01-10T23:59:00,0.40581773507393004,0.0,0.59418226492607,366,36
2023-12,POOL_PARTIAL_R21,2024-01-10T23:59:00,0.46514834515741843,2.416417110534759e-17,0.5348516548425817,432,47
2024-01,POOL_PRIOR_R21,2024-02-14T23:59:00,0.5,0.25,0.25,0,0
2024-01,POOL_COMPLETE_R21,2024-02-14T23:59:00,0.37885718181950256,0.0,0.6211428181804975,366,36
2024-01,POOL_PARTIAL_R21,2024-02-14T23:59:00,0.48259715783337476,4.26967070536231e-17,0.5174028421666251,432,47
2024-02,POOL_PRIOR_R21,2024-03-10T23:59:00,0.5,0.25,0.25,0,0
2024-02,POOL_COMPLETE_R21,2024-03-10T23:59:00,0.4227369522800993,0.0,0.5772630477199008,366,36
2024-02,POOL_PARTIAL_R21,2024-03-10T23:59:00,0.495333390504632,0.0,0.504666609495368,432,47
2024-03,POOL_PRIOR_R21,2024-04-09T23:59:00,0.5,0.25,0.25,0,0
2024-03,POOL_COMPLETE_R21,2024-04-09T23:59:00,0.46013956811712864,2.881095402018256e-16,0.539860431882871,366,36
2024-03,POOL_PARTIAL_R21,2024-04-09T23:59:00,0.5023311007681742,1.7336762689672772e-17,0.4976688992318257,432,47
2024-04,POOL_PRIOR_R21,2024-05-12T23:59:00,0.5,0.25,0.25,0,0
2024-04,POOL_COMPLETE_R21,2024-05-12T23:59:00,0.48894689045734663,8.942308412344704e-17,0.5110531095426533,366,36
2024-04,POOL_PARTIAL_R21,2024-05-12T23:59:00,0.5058917500899146,2.899283539248744e-17,0.4941082499100854,432,47
2024-05,POOL_PRIOR_R21,2024-06-10T23:59:00,0.5,0.25,0.25,0,0
2024-05,POOL_COMPLETE_R21,2024-06-10T23:59:00,0.501741474492175,0.0,0.498258525507825,366,36
2024-05,POOL_PARTIAL_R21,2024-06-10T23:59:00,0.5113042273094437,7.011617860676745e-17,0.48869577269055625,432,47
2024-06,POOL_PRIOR_R21,2024-07-09T23:59:00,0.5,0.25,0.25,0,0
2024-06,POOL_COMPLETE_R21,2024-07-09T23:59:00,0.5066137562628505,2.7572783713609826e-16,0.4933862437371492,366,36
2024-06,POOL_PARTIAL_R21,2024-07-09T23:59:00,0.5120081107248738,0.0,0.48799188927512616,432,47
2024-07,POOL_PRIOR_R21,2024-08-11T23:59:00,0.5,0.25,0.25,0,0
2024-07,POOL_COMPLETE_R21,2024-08-11T23:59:00,0.5080947477289406,2.1632907080404678e-16,0.49190525227105925,366,36
2024-07,POOL_PARTIAL_R21,2024-08-11T23:59:00,0.5056124539427264,0.0,0.49438754605727364,432,47
2024-08,POOL_PRIOR_R21,2024-09-09T23:59:00,0.5,0.25,0.25,0,0
2024-08,POOL_COMPLETE_R21,2024-09-09T23:59:00,0.5056131752354763,0.0,0.4943868247645237,366,36
2024-08,POOL_PARTIAL_R21,2024-09-09T23:59:00,0.5034417657355593,1.5693789264611965e-16,0.4965582342644406,432,47
2024-09,POOL_PRIOR_R21,2024-10-09T23:59:00,0.5,0.25,0.25,0,0
2024-09,POOL_COMPLETE_R21,2024-10-09T23:59:00,0.4979449404587705,1.090910245578468e-16,0.5020550595412294,366,36
2024-09,POOL_PARTIAL_R21,2024-10-09T23:59:00,0.5059607239608671,0.0,0.4940392760391328,432,47
2024-10,POOL_PRIOR_R21,2024-11-10T23:59:00,0.5,0.25,0.25,0,0
2024-10,POOL_COMPLETE_R21,2024-11-10T23:59:00,0.49227834452979286,0.0,0.5077216554702071,366,36
2024-10,POOL_PARTIAL_R21,2024-11-10T23:59:00,0.5084936235345363,3.2464015292071595e-16,0.49150637646546336,432,47
2024-11,POOL_PRIOR_R21,2024-12-09T23:59:00,0.5,0.25,0.25,0,0
2024-11,POOL_COMPLETE_R21,2024-12-09T23:59:00,0.4907451698606575,1.0896238781580477e-16,0.5092548301393424,366,36
2024-11,POOL_PARTIAL_R21,2024-12-09T23:59:00,0.5112676489050314,0.0,0.4887323510949687,432,47
2024-12,POOL_PRIOR_R21,2025-01-12T23:59:00,0.5,0.25,0.25,0,0
2024-12,POOL_COMPLETE_R21,2025-01-12T23:59:00,0.49381759887578325,3.2070907257815325e-16,0.5061824011242164,366,36
