group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value
surveys,EUS6CZ Index,2026-09-12T16:33:20.487519+00:00,EC Services Prices Expected in,European Commission,% Balance/Diffusion Index SA,Monthly,2026-08-31,ok,MONTHLY,292,2002-05-31,2026-08-31,8.0
surveys,EUA3CZ Index,2026-09-12T16:33:21.028985+00:00,EC Consumer Confidence Czech R,European Commission,% Balance/Diffusion Index SA,Monthly,2026-08-31,ok,MONTHLY,380,1995-01-31,2026-08-31,-21.6
labour,CZUEUR Index,2026-09-12T16:33:21.620000+00:00,Czech Unemployment Rate Total,Czech Statistical Office,Percent NSA,Quarterly,2024-12-31,ok,MONTHLY,80,2005-03-31,2024-12-31,2.5
labour,CZJLUNR Index,2026-09-12T16:33:22.099350+00:00,Czech Republic Unemployment Ra,Czech Statistical Office,Percent NSA,Monthly,2026-08-31,ok,MONTHLY,260,2005-01-31,2026-08-31,5.1
labour,UMRTCZ Index,2026-09-12T16:33:22.655975+00:00,Eurostat Unemployment Czech Re,Eurostat,Percent SA,Monthly,2026-07-31,ok,MONTHLY,403,1993-01-31,2026-07-31,3.3
labour,CZUEL Index,2026-09-12T16:33:23.155464+00:00,Czech Republic Unemployment Pe,Czech Statistical Office,Units/Persons NSA,Monthly,2026-03-31,ok,MONTHLY,356,1990-12-31,2026-03-31,372338.0
loans,CZBLHPTV Index,2026-09-12T16:33:23.656604+00:00,Czech Republic Volume of House,Czech National Bank,Value NSA,Monthly,2026-05-31,ok,MONTHLY,293,2002-01-31,2026-05-31,2060993.14
loans,CZBLHHTV Index,2026-09-12T16:33:24.160558+00:00,Czech Republic Volume of House,Czech National Bank,Value NSA,Monthly,2026-05-31,ok,MONTHLY,293,2002-01-31,2026-05-31,2679223.73
loans,LDHHLHCZ Index,2026-09-12T16:33:24.692125+00:00,ECB MFIs Statistics for Househ,European Central Bank,Value NSA,Monthly,2026-07-31,ok,MONTHLY,295,2002-01-31,2026-07-31,86692.0
loans,LDHHCCCZ Index,2026-09-12T16:33:25.302186+00:00,ECB MFIs Statistics for Househ,European Central Bank,Value NSA,Monthly,2026-07-31,ok,MONTHLY,294,2002-01-31,2026-07-31,17879.0
loans,LDHHOLCZ Index,2026-09-12T16:33:25.863938+00:00,ECB MFIs Statistics for Househ,European Central Bank,Value NSA,Monthly,2026-07-31,ok,MONTHLY,295,2002-01-31,2026-07-31,8536.0
trade_balance,CZTBAL Index,2026-09-12T16:33:26.407562+00:00,Czech Republic Foreign Trade B,Czech Statistical Office,Value NSA,Monthly,2019-12-31,ok,MONTHLY,324,1993-01-31,2019-12-31,16.296
trade_balance,CZTBNAL Index,2026-09-12T16:33:26.940962+00:00,Czech Republic Foreign Trade B,Czech Statistical Office,Value NSA,Monthly,2026-07-31,ok,MONTHLY,259,2005-01-31,2026-07-31,-8.51
rates,GTCZK10Y Govt,2026-09-12T16:33:27.426125+00:00,CZECH REPUBLIC,,,,2026-09-11,ok,DAILY,5032,2007-03-02,2026-09-11,5.207
