origin,model,h,log_rate
2019-05,FOOD_NORM_REFIT_R24,12,0.337407484216997
2019-06,FOOD_STABLE_PIPELINE_R14B,1,-0.10608030400181193
2019-06,FOOD_STABLE_PIPELINE_R14B,2,-0.48120110264617305
2019-06,FOOD_STABLE_PIPELINE_R14B,3,0.48170788827916894
2019-06,FOOD_STABLE_PIPELINE_R14B,4,0.4225393308617681
2019-06,FOOD_STABLE_PIPELINE_R14B,5,0.1076650180404179
2019-06,FOOD_STABLE_PIPELINE_R14B,6,0.41137679108326786
2019-06,FOOD_STABLE_PIPELINE_R14B,7,1.112033797593709
2019-06,FOOD_STABLE_PIPELINE_R14B,8,0.4209624866334155
2019-06,FOOD_STABLE_PIPELINE_R14B,9,-0.18540466049576218
2019-06,FOOD_STABLE_PIPELINE_R14B,10,-0.3483354305305804
2019-06,FOOD_STABLE_PIPELINE_R14B,11,0.6961857396421933
2019-06,FOOD_STABLE_PIPELINE_R14B,12,0.019820950914972237
2019-06,FOOD_ZERO_DRIFT_R24,1,-0.2907097884657336
2019-06,FOOD_ZERO_DRIFT_R24,2,-0.6658305871100947
2019-06,FOOD_ZERO_DRIFT_R24,3,0.2970784038152473
2019-06,FOOD_ZERO_DRIFT_R24,4,0.23790984639784643
2019-06,FOOD_ZERO_DRIFT_R24,5,-0.07696446642350376
2019-06,FOOD_ZERO_DRIFT_R24,6,0.2267473066193462
2019-06,FOOD_ZERO_DRIFT_R24,7,0.9274043131297872
2019-06,FOOD_ZERO_DRIFT_R24,8,0.23633300216949385
2019-06,FOOD_ZERO_DRIFT_R24,9,-0.37003414495968384
2019-06,FOOD_ZERO_DRIFT_R24,10,-0.532964914994502
2019-06,FOOD_ZERO_DRIFT_R24,11,0.5115562551782716
2019-06,FOOD_ZERO_DRIFT_R24,12,-0.16480853354894942
2019-06,FOOD_ROBUST_WINDOW_R24,1,-0.10022530449865028
2019-06,FOOD_ROBUST_WINDOW_R24,2,-0.4753461031430114
2019-06,FOOD_ROBUST_WINDOW_R24,3,0.4875628877823306
2019-06,FOOD_ROBUST_WINDOW_R24,4,0.42839433036492974
2019-06,FOOD_ROBUST_WINDOW_R24,5,0.11352001754357956
