origin,as_of,mu_window,mu_robust,mu_long,mu_window_annual_pct,mu_robust_annual_pct,mu_long_annual_pct,spectral_radius,contraction,n_train,train_start,train_end
2024-09,2024-10-09T21:59:00+00:00,0.40920740480152573,0.2638543943546279,0.22202391594998439,4.910488857618309,3.1662527322555345,2.6642869913998126,0.7629727951803561,1.0,96,2016-09,2024-08
2024-10,2024-11-10T22:59:00+00:00,0.4170475604123074,0.23300679164702753,0.22168690200290056,5.004570724947689,2.7960814997643304,2.660242824034807,0.7665705921039698,1.0,96,2016-10,2024-09
2024-11,2024-12-09T22:59:00+00:00,0.42306786347585396,0.23257323430897228,0.22134988805581676,5.076814361710247,2.7908788117076675,2.656198656669801,0.7665868039904451,1.0,96,2016-11,2024-10
2024-12,2025-01-12T22:59:00+00:00,0.40522239918349895,0.22388254032001006,0.22091065043136382,4.862668790201988,2.6865904838401207,2.650927805176366,0.7670071916455954,1.0,96,2016-12,2024-11
2025-01,2025-02-05T22:59:00+00:00,0.3908868015746536,0.22202391594998439,0.22047141280691088,4.690641618895843,2.6642869913998126,2.6456569536829306,0.767784578451773,1.0,96,2017-01,2024-12
2025-02,2025-03-04T22:59:00+00:00,0.40664365436344,0.22202391594998439,0.22091065043136382,4.8797238523612805,2.6642869913998126,2.650927805176366,0.7682841719507514,1.0,96,2017-02,2025-01
2025-03,2025-04-03T21:59:00+00:00,0.38628379248328204,0.22202391594998439,0.22134988805581676,4.6354055097993845,2.6642869913998126,2.656198656669801,0.7676614663526675,1.0,96,2017-03,2025-02
2025-04,2025-05-05T21:59:00+00:00,0.39657098269050844,0.22388254032001006,0.22168690200290056,4.758851792286102,2.6865904838401207,2.660242824034807,0.7682645163725563,1.0,96,2017-04,2025-03
2025-05,2025-06-03T21:59:00+00:00,0.39885840908595616,0.23257323430897228,0.22202391594998439,4.786300909031474,2.7908788117076675,2.6642869913998126,0.7683240445130776,1.0,96,2017-05,2025-04
2025-06,2025-07-03T21:59:00+00:00,0.40783301037313957,0.23300679164702753,0.22227095217080942,4.893996124477675,2.7960814997643304,2.667251426049713,0.7680473030515036,1.0,96,2017-06,2025-05
2025-07,2025-08-04T21:59:00+00:00,0.4078612226017438,0.2638543943546279,0.22251798839163447,4.894334671220926,3.1662527322555345,2.6702158606996136,0.7686780157369463,1.0,96,2017-07,2025-06
2025-08,2025-09-03T21:59:00+00:00,0.3920469704392951,0.2809681473593475,0.22320026435582227,4.704563645271541,3.37161776831217,2.678403172269867,0.7685913440753377,1.0,96,2017-08,2025-07
2025-09,2025-10-05T21:59:00+00:00,0.4000444505424557,0.3060036673508459,0.22388254032001006,4.8005334065094685,3.6720440082101504,2.6865904838401207,0.7695548632169757,1.0,96,2017-09,2025-08
2025-10,2025-11-04T22:59:00+00:00,0.3873564661742372,0.3060036673508459,0.2240305221746454,4.648277594090846,3.6720440082101504,2.688366266095745,0.7699344797712769,1.0,96,2017-10,2025-09
2025-11,2025-12-03T22:59:00+00:00,0.3821356999795675,0.3060036673508459,0.22417850402928075,4.5856283997548095,3.6720440082101504,2.690142048351369,0.7712990953981389,1.0,96,2017-11,2025-10
2025-12,2026-01-06T22:59:00+00:00,0.36986129828083775,0.3060036673508459,0.2240305221746454,4.438335579370053,3.6720440082101504,2.688366266095745,0.7751979343921376,1.0,96,2017-12,2025-11
2026-01,2026-02-04T22:59:00+00:00,0.3521688654813711,0.3060036673508459,0.22388254032001006,4.2260263857764535,3.6720440082101504,2.6865904838401207,0.7765536607102986,1.0,96,2018-01,2025-12
2026-02,2026-03-03T22:59:00+00:00,0.3745499493915232,0.3060036673508459,0.22320026435582227,4.494599392698278,3.6720440082101504,2.678403172269867,0.7818642255839025,1.0,96,2018-02,2026-01
2026-03,2026-04-06T21:59:00+00:00,0.36593047600621337,0.3060036673508459,0.22251798839163447,4.39116571207456,3.6720440082101504,2.6702158606996136,0.7806448601814564,1.0,96,2018-03,2026-02
2026-04,2026-05-05T21:59:00+00:00,0.36490628524624064,0.3060036673508459,0.22227095217080942,4.378875422954888,3.6720440082101504,2.667251426049713,0.7809209019139032,1.0,96,2018-04,2026-03
2026-05,2026-06-03T21:59:00+00:00,0.36666391082043903,0.3060036673508459,0.22202391594998439,4.399966929845268,3.6720440082101504,2.6642869913998126,0.7766403005659765,1.0,96,2018-05,2026-04
2026-06,2026-07-06T21:59:00+00:00,0.3630506721020493,0.3060036673508459,0.22168690200290056,4.3566080652245915,3.6720440082101504,2.660242824034807,0.7818868053263904,1.0,96,2018-06,2026-05
2026-07,2026-08-04T21:59:00+00:00,0.34488777499417367,0.3060036673508459,0.22134988805581676,4.138653299930084,3.6720440082101504,2.656198656669801,0.7889833955099825,1.0,96,2018-07,2026-06
