dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-02,-10.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-03,-5.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-04,-2.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-05,2.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-06,-0.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-07,2.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-08,-5.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-09,-4.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-10,-1.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-11,0.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2002-12,-3.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-01,-6.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-02,-3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-03,-4.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-04,-1.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-05,-3.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-06,-4.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-07,-3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-08,-3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-09,-6.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-10,2.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-11,3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2003-12,1.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-01,0.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-02,-1.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-03,-0.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-04,9.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-05,7.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-06,7.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-07,12.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-08,4.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-09,3.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,2004-10,6.2,
