"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2023","2023-Q4","100.3","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2024","2024-03K","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2024","2024-Q1","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2024","2024-Q2","98.7","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2024","2024-Q3","103.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2024","2024-Q4","104.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2025","2025-03K","101.4","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2025","2025-Q1","101.4","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2025","2025-Q2","99.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2025","2025-Q3","99.3","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2025","2025-Q4","97.8","procento","%"
