"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2023","2023-Q1","95.7","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2023","2023-Q2","95.5","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2023","2023-Q3","101.3","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2023","2023-Q4","101.5","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2024","2024-03K","100.1","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2024","2024-Q1","100.1","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.1","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2024","2024-Q3","101.0","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.9","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2025","2025-03K","100.2","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2025","2025-Q1","100.2","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2025","2025-Q2","97.5","procento","%"
