model,clock,threshold,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,rows,calls
PREV_CNB,cutoff,0.5,False,True,False,False,False,1,0
PREV_CNB,cutoff,0.5,False,True,True,False,False,1,0
PREV_CNB,cutoff,0.5,False,True,True,True,False,22,0
PREV_CNB,cutoff,0.5,True,False,False,False,False,6,0
PREV_CNB,cutoff,0.5,True,True,False,False,False,17,8
PREV_CNB,cutoff,0.5,True,True,True,False,False,17,8
PREV_CNB,cutoff,0.5,True,True,True,True,True,93,21
PREV_CNB,report,0.3,False,False,False,False,False,4,0
PREV_CNB,report,0.3,False,True,False,False,False,1,0
PREV_CNB,report,0.3,False,True,True,False,False,1,0
PREV_CNB,report,0.3,False,True,True,True,False,22,0
PREV_CNB,report,0.3,True,False,False,False,False,6,2
PREV_CNB,report,0.3,True,True,False,False,False,17,11
PREV_CNB,report,0.3,True,True,True,False,False,17,10
PREV_CNB,report,0.3,True,True,True,True,True,93,34
PREV_CNB,report,0.5,False,False,False,False,False,4,0
PREV_CNB,report,0.5,False,True,False,False,False,1,0
PREV_CNB,report,0.5,False,True,True,False,False,1,0
PREV_CNB,report,0.5,False,True,True,True,False,22,0
PREV_CNB,report,0.5,True,False,False,False,False,6,0
PREV_CNB,report,0.5,True,True,False,False,False,17,8
PREV_CNB,report,0.5,True,True,True,False,False,17,8
PREV_CNB,report,0.5,True,True,True,True,True,93,21
RW_YY,cutoff,0.3,True,False,False,False,False,10,3
RW_YY,cutoff,0.3,True,True,False,False,False,18,15
RW_YY,cutoff,0.3,True,True,True,False,False,18,14
RW_YY,cutoff,0.3,True,True,True,True,True,115,88
RW_YY,cutoff,0.5,True,False,False,False,False,10,1
RW_YY,cutoff,0.5,True,True,False,False,False,18,12
RW_YY,cutoff,0.5,True,True,True,False,False,18,13
RW_YY,cutoff,0.5,True,True,True,True,True,115,76
RW_YY,report,0.3,True,False,False,False,False,10,10
RW_YY,report,0.3,True,True,False,False,False,18,14
RW_YY,report,0.3,True,True,True,False,False,18,13
RW_YY,report,0.3,True,True,True,True,True,115,93
RW_YY,report,0.5,True,False,False,False,False,10,9
RW_YY,report,0.5,True,True,False,False,False,18,9
RW_YY,report,0.5,True,True,True,False,False,18,11
RW_YY,report,0.5,True,True,True,True,True,115,77
STABLE_LOCAL_CORE_R14B,cutoff,0.3,False,False,False,False,False,6,0
STABLE_LOCAL_CORE_R14B,cutoff,0.3,False,True,True,True,False,79,0
STABLE_LOCAL_CORE_R14B,cutoff,0.3,True,False,False,False,False,4,2
STABLE_LOCAL_CORE_R14B,cutoff,0.3,True,True,False,False,False,18,9
STABLE_LOCAL_CORE_R14B,cutoff,0.3,True,True,True,False,False,18,11
STABLE_LOCAL_CORE_R14B,cutoff,0.3,True,True,True,True,True,36,26
STABLE_LOCAL_CORE_R14B,cutoff,0.5,False,False,False,False,False,6,0
STABLE_LOCAL_CORE_R14B,cutoff,0.5,False,True,True,True,False,79,0
STABLE_LOCAL_CORE_R14B,cutoff,0.5,True,False,False,False,False,4,0
STABLE_LOCAL_CORE_R14B,cutoff,0.5,True,True,False,False,False,18,8
STABLE_LOCAL_CORE_R14B,cutoff,0.5,True,True,True,False,False,18,9
STABLE_LOCAL_CORE_R14B,cutoff,0.5,True,True,True,True,True,36,20
STABLE_LOCAL_CORE_R14B,report,0.3,False,False,False,False,False,6,0
STABLE_LOCAL_CORE_R14B,report,0.3,False,True,True,True,False,79,0
STABLE_LOCAL_CORE_R14B,report,0.3,True,False,False,False,False,4,2
STABLE_LOCAL_CORE_R14B,report,0.3,True,True,False,False,False,18,7
STABLE_LOCAL_CORE_R14B,report,0.3,True,True,True,False,False,18,9
STABLE_LOCAL_CORE_R14B,report,0.3,True,True,True,True,True,36,21
STABLE_LOCAL_CORE_R14B,report,0.5,False,False,False,False,False,6,0
STABLE_LOCAL_CORE_R14B,report,0.5,False,True,True,True,False,79,0
STABLE_LOCAL_CORE_R14B,report,0.5,True,False,False,False,False,4,0
STABLE_LOCAL_CORE_R14B,report,0.5,True,True,False,False,False,18,7
STABLE_LOCAL_CORE_R14B,report,0.5,True,True,True,False,False,18,9
STABLE_LOCAL_CORE_R14B,report,0.5,True,True,True,True,True,36,18
STATE_FAST_R15,cutoff,0.3,False,False,False,False,False,6,0
STATE_FAST_R15,cutoff,0.3,False,True,True,True,False,79,0
STATE_FAST_R15,cutoff,0.3,True,False,False,False,False,4,1
STATE_FAST_R15,cutoff,0.3,True,True,False,False,False,18,10
STATE_FAST_R15,cutoff,0.3,True,True,True,False,False,18,13
STATE_FAST_R15,cutoff,0.3,True,True,True,True,True,36,24
STATE_FAST_R15,cutoff,0.5,False,False,False,False,False,6,0
STATE_FAST_R15,cutoff,0.5,False,True,True,True,False,79,0
