metric,h,sample,model,n,rmse,mae,bias
headline_yy,4,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,2.6017188549188006,2.0904089792825378,-0.7409949551497572
headline_yy,4,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,2.60141447648769,2.0777094545496455,-0.7782345649942579
headline_yy,4,origins_2022_2023,FOOD_NORM_REFIT_R24,24,2.599832363892837,2.0810031682970394,-0.7677915819599536
headline_yy,4,origins_2024plus,STATE_FAST_R15,27,0.469323965777046,0.3678516474008364,0.11147696384495395
headline_yy,4,origins_2024plus,STABLE_LOCAL_CORE_R14B,27,0.4223683096731076,0.32337670920890876,0.10236633787258954
headline_yy,4,origins_2024plus,DAMPED_P95_Q001_R16,27,0.4604142702595106,0.3399514204739105,0.019367931673394574
headline_yy,4,origins_2024plus,FOOD_ZERO_DRIFT_R24,27,0.48597676190140826,0.36508969431532323,-0.1732535600631168
headline_yy,4,origins_2024plus,FOOD_ROBUST_WINDOW_R24,27,0.4517103605478942,0.3388061075395797,0.02888888145871392
headline_yy,4,origins_2024plus,FOOD_NORM_SHIFT_R24,27,0.45415062572688175,0.3371818845269876,-0.011683364808119838
headline_yy,4,origins_2024plus,FOOD_NORM_REFIT_R24,27,0.4559744032937103,0.33950881684497247,-0.0031721640503808786
core_cumulative_log,4,full,STATE_FAST_R15,83,1.0931906440625303,0.7899394970946951,-0.010671574117439438
core_cumulative_log,4,full,STABLE_LOCAL_CORE_R14B,83,1.4116737535967532,1.0052808666256507,-0.006799683832683404
core_cumulative_log,4,full,DAMPED_P95_Q001_R16,83,1.1486045942699405,0.8174427123474074,-0.003924085325371519
core_cumulative_log,4,full,FOOD_ZERO_DRIFT_R24,83,1.0931906440625303,0.7899394970946951,-0.010671574117439438
core_cumulative_log,4,full,FOOD_ROBUST_WINDOW_R24,83,1.0931906440625303,0.7899394970946951,-0.010671574117439438
core_cumulative_log,4,full,FOOD_NORM_SHIFT_R24,83,1.0931906440625303,0.7899394970946951,-0.010671574117439438
core_cumulative_log,4,full,FOOD_NORM_REFIT_R24,83,1.0931906440625303,0.7899394970946951,-0.010671574117439438
core_cumulative_log,4,origins_2019_2021,STATE_FAST_R15,32,1.3164640040189486,0.9622613645915064,-0.5773408325406806
core_cumulative_log,4,origins_2019_2021,STABLE_LOCAL_CORE_R14B,32,1.539912625305936,1.115118014465371,-0.8011035086433065
