period,cpi_mm,agri_ppi_yoy,ppi_c_yoy,ppi_constr_yoy,ppi_d_yoy,ppi_e_yoy,ppi_yoy,ppi_services_yoy,esi,price_expect_survey,price_expect_survey_36m,eurczk_mm,usdczk_mm,ip_yoy,retail_yoy,constr_yoy,unemployment_rate,conf_business,conf_consumer,conf_economic_sentiment,pribor_3m,czgb_10y,reer_ppi_mm,reer_cpi_mm,hh_loans_mm,nfc_loans_mm,trade_balance,cpi_breadth,median_cpi_mm,services_cpi_mm,agri_price_mm,hpi_yoy,constr_ppi_yoy,m3_yoy,wage_lci_yoy,import_prices_mm,de_food_processed_mm,de_food_unprocessed_mm,de_energy_mm,de_services_mm,de_industrial_goods_ex_energy_mm,de_food_hicp_mm_proxy
2016-10,0.298507462687,-3.4,-2,1.1,-4.1,1.6,-2.4,0.3,107.2,1.9,2.00769230769,0,1.6347869383,13.2810063515,,,3.94687884799,102.404735619,113.77349569,104.305354913,0.29,0.37122906076,-0.0411776816965,-0.0869281755949,0.726082017557,1.39108649588,19370.985594,0.384615384615,0,0.312602829878,6.04970055112,10.3,1.20481927711,8.41405232504,0.455235204856,0,0.298210735586,0.196850393701,0.636267232238,-0.968054211036,1.1964107677,0.247530564644
2016-11,0.396825396825,-3.8,-1.1,1.2,-4.1,1.6,-1.7,0.3,107.3,1.92542467739,1.94,0.0407090781244,2.19228413962,2.74063340771,,,3.87634196439,102.399137897,113.215782476,104.207455009,0.29,0.548618181806,0.0720906282183,0.36976617727,0.816321485108,0.487182608051,14698.544828,0.615384615385,0.199004975124,0.114810562572,-1.13394084702,10.3,1.20240480962,8.02947431412,0.455235204856,0.9,0.1982160555,-0.49115913556,1.3698630137,-0.293255131965,0.492610837438,-0.14647154003
2016-12,0.296442687747,-3.6,-0.6,1.2,-4.1,1.6,-1.3,0.3,110.2,1.95,2.02142857143,-0.00739863865048,2.43288590604,-1.67636160661,,,3.82336033847,104.934906194,112.379212654,106.179438791,0.286666666667,0.525673709489,-0.679221982093,-0.346733123849,0.782670907472,0.491010991866,8327.656138,0.384615384615,0,-0.0982961992136,-0.132081138133,12.3,1.20240480962,8.1885023041,6.50969529086,0.8,0.890207715134,0.592300098717,-1.0395010395,-2.05882352941,0,0.741253906925
2017-01,0.788177339901,-4.7,0.6,1.2,-4.1,1.6,-0.4,0.2,109.7,1.98666666667,2.01428571429,-0.0369959304477,-0.717600717601,7.04796465343,,,3.75066859255,104.503881561,113.215782476,105.960329481,0.28,0.466654515312,0.0207232411149,0.130477329564,0.548180987531,-3.34717118286,-8356.731485,0.461538461538,0.297914597815,0.180387012135,2.3358724148,12.3,1.20240480962,6.52784595677,6.50969529086,1.3,0,2.06084396467,2.20588235294,1.5015015015,-0.392156862745,1.03042198234
2017-02,0.39100684262,-3,2.6,1.2,-1.1,2.1,2.1,0.4,107.6,2.001875,2.03666666667,0,-0.263188906784,2.71498649058,,,3.64165828234,104.335949886,113.494639083,105.867091478,0.28,0.625832489029,-0.0828757899099,-0.0977304810512,0.32685918434,0.750504516109,23256.596269,0.846153846154,0.971817298348,0.54018660992,1.21658491064,12.3,1.1,8.68157761993,6.50969529086,1.1,0.196078431373,2.21153846154,0.924974306269,-1.87376725838,-0.885826771654,1.20380844646
2017-03,0,-0.8,4,1.4,-1.2,2.1,3.1,0.6,106.4,2.09372350578,1.97190452767,0,-0.385978731784,10.30026146,,,3.52041120584,103.177221326,112.936925869,104.808840134,0.28,0.870667796001,-0.0103680663556,0.239130434783,0.431622755798,0.723773646615,22607.73095,0.615384615385,0.293542074364,0.227938782156,0.17226183876,14.6,1.1,9.56080155361,4.18353576248,0.4,0.195694716243,6.49106302916,0.20366598778,0.904522613065,0.297914597815,3.3433788727
2017-04,0,3.4,3.8,1.4,-1.2,2.1,3,1.1,104.4,2.02466666667,1.98714285714,-0.725388601036,-1.07543887395,2.07713095638,,,3.41630874619,101.251604782,111.82149944,103.01867046,0.287777777778,0.956480571866,0.61177934467,0.281934504446,0.741147483692,1.46638961043,27435.436527,0.461538461538,0.0986193293885,0.0487329434698,1.67985931356,14.6,1.1,11.7591150114,4.18353576248,-0.2,0,-6.36042402827,-0.914634146341,0.398406374502,1.48514851485,-3.18021201413
2017-05,0.194741966894,8.6,4,1.4,-1.4,1,3.2,1.1,107,2.00133859068,1.93307708465,-0.96928124068,-4.00879296563,10.1744210726,,,3.31969187463,102.354356117,114.331208904,104.356635815,0.297142857143,0.744101118196,1.13366999897,1.69766435986,0.585737801584,1.8042126646,14901.165693,0.615384615385,0.19550342131,0.308491638253,0.843711995904,14.6,1.39026812314,12.9158889016,4.18353576248,-0.6,0.48828125,-1.88679245283,0.820512820513,0.992063492063,0.19512195122,-0.699255601415
2017-06,0,12.6,2.8,1.7,-1.3,1,2.3,0.9,105.2,2.0375,1.93125,-1.13311248306,-2.61481450639,-2.51135501667,,,3.20734014187,102.046481378,110.984929619,103.540803281,0.297272727273,0.765250839192,0.815245083053,1.43540669856,0.845468437414,0.844363859941,16179.342867,0.538461538462,0.196656833825,-0.0647458724506,0.92179059798,17.2,1.39026812314,12.5132405908,3.12965722802,-1.4,0.680272108844,-2.21153846154,-1.42421159715,0.196463654224,0,-0.765633176347
2017-07,0.485908649174,13,1.4,1.6,-1.1,1,1.1,1.4,106.6,2.11988436092,1.9790175669,-0.719643605072,-3.27931933815,8.25707219468,,,3.07283914768,102.427126509,112.658069262,104.137526506,0.301052631579,0.899643604744,1.04114020014,1.49895178197,0.813509889831,-0.861447883392,20705.839937,0.461538461538,0.193236714976,0.0971817298348,-0.611729697278,17.2,1.39026812314,11.9990447053,3.12965722802,-1.9,0.3861003861,-1.67158308751,-0.825593395253,1.47058823529,-0.681596884129,-0.642741350706
