year,month,indic_code,indic_label,value
1999,11,BS-RCI-BAL,Retail confidence indicator,8.2
1999,12,BS-CCI-BAL,Construction confidence indicator,-38.5
1999,12,BS-CSMCI-BAL,Consumer confidence indicator,-20.8
1999,12,BS-ESI-I,Economic sentiment indicator,99.5
1999,12,BS-ICI-BAL,Industrial confidence indicator,13.7
1999,12,BS-RCI-BAL,Retail confidence indicator,8.8
2000,1,BS-CCI-BAL,Construction confidence indicator,-36.0
2000,1,BS-CSMCI-BAL,Consumer confidence indicator,-21.0
2000,1,BS-ESI-I,Economic sentiment indicator,94.8
2000,1,BS-ICI-BAL,Industrial confidence indicator,6.4
2000,1,BS-RCI-BAL,Retail confidence indicator,10.8
2000,2,BS-CCI-BAL,Construction confidence indicator,-37.1
2000,2,BS-CSMCI-BAL,Consumer confidence indicator,-21.5
2000,2,BS-ESI-I,Economic sentiment indicator,99.4
2000,2,BS-ICI-BAL,Industrial confidence indicator,8.7
2000,2,BS-RCI-BAL,Retail confidence indicator,12.7
2000,3,BS-CCI-BAL,Construction confidence indicator,-39.3
2000,3,BS-CSMCI-BAL,Consumer confidence indicator,-23.4
2000,3,BS-ESI-I,Economic sentiment indicator,100.0
2000,3,BS-ICI-BAL,Industrial confidence indicator,14.6
2000,3,BS-RCI-BAL,Retail confidence indicator,16.8
2000,4,BS-CCI-BAL,Construction confidence indicator,-37.5
2000,4,BS-CSMCI-BAL,Consumer confidence indicator,-20.6
2000,4,BS-ESI-I,Economic sentiment indicator,105.1
2000,4,BS-ICI-BAL,Industrial confidence indicator,12.0
2000,4,BS-RCI-BAL,Retail confidence indicator,14.3
2000,5,BS-CCI-BAL,Construction confidence indicator,-32.4
2000,5,BS-CSMCI-BAL,Consumer confidence indicator,-18.8
2000,5,BS-ESI-I,Economic sentiment indicator,104.7
2000,5,BS-ICI-BAL,Industrial confidence indicator,20.4
2000,5,BS-RCI-BAL,Retail confidence indicator,12.6
2000,6,BS-CCI-BAL,Construction confidence indicator,-30.5
2000,6,BS-CSMCI-BAL,Consumer confidence indicator,-18.6
2000,6,BS-ESI-I,Economic sentiment indicator,114.8
2000,6,BS-ICI-BAL,Industrial confidence indicator,29.0
2000,6,BS-RCI-BAL,Retail confidence indicator,11.7
2000,7,BS-CCI-BAL,Construction confidence indicator,-29.8
2000,7,BS-CSMCI-BAL,Consumer confidence indicator,-20.1
2000,7,BS-ESI-I,Economic sentiment indicator,105.6
2000,7,BS-ICI-BAL,Industrial confidence indicator,19.6
2000,7,BS-RCI-BAL,Retail confidence indicator,14.7
2000,8,BS-CCI-BAL,Construction confidence indicator,-28.8
2000,8,BS-CSMCI-BAL,Consumer confidence indicator,-17.7
2000,8,BS-ESI-I,Economic sentiment indicator,97.6
2000,8,BS-ICI-BAL,Industrial confidence indicator,9.7
2000,8,BS-RCI-BAL,Retail confidence indicator,11.0
2000,9,BS-CCI-BAL,Construction confidence indicator,-22.6
2000,9,BS-CSMCI-BAL,Consumer confidence indicator,-17.3
2000,9,BS-ESI-I,Economic sentiment indicator,106.1
2000,9,BS-ICI-BAL,Industrial confidence indicator,19.1
2000,9,BS-RCI-BAL,Retail confidence indicator,6.2
2000,10,BS-CCI-BAL,Construction confidence indicator,-28.4
2000,10,BS-CSMCI-BAL,Consumer confidence indicator,-15.2
2000,10,BS-ESI-I,Economic sentiment indicator,103.9
2000,10,BS-ICI-BAL,Industrial confidence indicator,15.2
2000,10,BS-RCI-BAL,Retail confidence indicator,11.3
2000,11,BS-CCI-BAL,Construction confidence indicator,-19.1
2000,11,BS-CSMCI-BAL,Consumer confidence indicator,-15.2
2000,11,BS-ESI-I,Economic sentiment indicator,101.5
2000,11,BS-ICI-BAL,Industrial confidence indicator,12.1
2000,11,BS-RCI-BAL,Retail confidence indicator,14.9
2000,12,BS-CCI-BAL,Construction confidence indicator,-16.6
2000,12,BS-CSMCI-BAL,Consumer confidence indicator,-21.2
2000,12,BS-ESI-I,Economic sentiment indicator,92.6
2000,12,BS-ICI-BAL,Industrial confidence indicator,4.6
2000,12,BS-RCI-BAL,Retail confidence indicator,17.0
2001,1,BS-CCI-BAL,Construction confidence indicator,-16.1
2001,1,BS-CSMCI-BAL,Consumer confidence indicator,-16.0
2001,1,BS-ESI-I,Economic sentiment indicator,93.4
2001,1,BS-ICI-BAL,Industrial confidence indicator,9.1
2001,1,BS-RCI-BAL,Retail confidence indicator,16.9
2001,2,BS-CCI-BAL,Construction confidence indicator,-14.7
2001,2,BS-CSMCI-BAL,Consumer confidence indicator,-12.6
2001,2,BS-ESI-I,Economic sentiment indicator,90.2
2001,2,BS-ICI-BAL,Industrial confidence indicator,3.7
2001,2,BS-RCI-BAL,Retail confidence indicator,15.5
2001,3,BS-CCI-BAL,Construction confidence indicator,-10.1
2001,3,BS-CSMCI-BAL,Consumer confidence indicator,-10.5
2001,3,BS-ESI-I,Economic sentiment indicator,96.9
2001,3,BS-ICI-BAL,Industrial confidence indicator,9.2
2001,3,BS-RCI-BAL,Retail confidence indicator,16.2
2001,4,BS-CCI-BAL,Construction confidence indicator,-10.7
2001,4,BS-CSMCI-BAL,Consumer confidence indicator,-9.0
2001,4,BS-ESI-I,Economic sentiment indicator,104.3
2001,4,BS-ICI-BAL,Industrial confidence indicator,9.7
2001,4,BS-RCI-BAL,Retail confidence indicator,26.9
2001,5,BS-CCI-BAL,Construction confidence indicator,-11.6
2001,5,BS-CSMCI-BAL,Consumer confidence indicator,-13.4
2001,5,BS-ESI-I,Economic sentiment indicator,100.4
2001,5,BS-ICI-BAL,Industrial confidence indicator,5.8
2001,5,BS-RCI-BAL,Retail confidence indicator,25.7
2001,6,BS-CCI-BAL,Construction confidence indicator,-11.9
2001,6,BS-CSMCI-BAL,Consumer confidence indicator,-11.2
2001,6,BS-ESI-I,Economic sentiment indicator,98.3
2001,6,BS-ICI-BAL,Industrial confidence indicator,0.2
2001,6,BS-RCI-BAL,Retail confidence indicator,24.2
2001,7,BS-CCI-BAL,Construction confidence indicator,-11.8
2001,7,BS-CSMCI-BAL,Consumer confidence indicator,-10.4
2001,7,BS-ESI-I,Economic sentiment indicator,101.1
2001,7,BS-ICI-BAL,Industrial confidence indicator,3.1
2001,7,BS-RCI-BAL,Retail confidence indicator,18.6
2001,8,BS-CCI-BAL,Construction confidence indicator,-11.0
2001,8,BS-CSMCI-BAL,Consumer confidence indicator,-10.4
2001,8,BS-ESI-I,Economic sentiment indicator,102.5
2001,8,BS-ICI-BAL,Industrial confidence indicator,7.1
2001,8,BS-RCI-BAL,Retail confidence indicator,19.9
2001,9,BS-CCI-BAL,Construction confidence indicator,-14.6
