"Indicator","Territory","Weeks","Fuel type","Hodnota"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2025","LPG","17.09"
"Consumer price index of fuels (%)","Czechia","Week 33, 2025","Petrol 95 O Natural","99.6"
"Consumer price index of fuels (%)","Czechia","Week 33, 2025","Diesel","99.5"
"Consumer price index of fuels (%)","Czechia","Week 33, 2025","LPG","99.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2025","Petrol 95 O Natural","34.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2025","Diesel","34.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2025","LPG","17.15"
"Consumer price index of fuels (%)","Czechia","Week 32, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 32, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 32, 2025","LPG","99.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2025","Petrol 95 O Natural","34.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2025","Diesel","34.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2025","LPG","17.2"
"Consumer price index of fuels (%)","Czechia","Week 31, 2025","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 31, 2025","Diesel","100.2"
"Consumer price index of fuels (%)","Czechia","Week 31, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2025","Petrol 95 O Natural","34.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2025","Diesel","34.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2025","LPG","17.22"
"Consumer price index of fuels (%)","Czechia","Week 30, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 30, 2025","Diesel","100.1"
"Consumer price index of fuels (%)","Czechia","Week 30, 2025","LPG","97.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2025","Petrol 95 O Natural","34.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2025","Diesel","33.98"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2025","LPG","17.63"
"Consumer price index of fuels (%)","Czechia","Week 29, 2025","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 29, 2025","Diesel","100.7"
"Consumer price index of fuels (%)","Czechia","Week 29, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2025","Petrol 95 O Natural","34.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2025","Diesel","33.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2025","LPG","17.65"
"Consumer price index of fuels (%)","Czechia","Week 28, 2025","Petrol 95 O Natural","99.5"
"Consumer price index of fuels (%)","Czechia","Week 28, 2025","Diesel","99.8"
"Consumer price index of fuels (%)","Czechia","Week 28, 2025","LPG","100.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2025","Petrol 95 O Natural","34.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2025","Diesel","33.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2025","LPG","17.64"
"Consumer price index of fuels (%)","Czechia","Week 27, 2025","Petrol 95 O Natural","100.1"
"Consumer price index of fuels (%)","Czechia","Week 27, 2025","Diesel","100.3"
"Consumer price index of fuels (%)","Czechia","Week 27, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2025","Petrol 95 O Natural","34.87"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2025","Diesel","33.71"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2025","LPG","17.65"
"Consumer price index of fuels (%)","Czechia","Week 26, 2025","Petrol 95 O Natural","102.7"
"Consumer price index of fuels (%)","Czechia","Week 26, 2025","Diesel","103.3"
"Consumer price index of fuels (%)","Czechia","Week 26, 2025","LPG","99.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2025","Petrol 95 O Natural","33.95"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2025","Diesel","32.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2025","LPG","17.75"
"Consumer price index of fuels (%)","Czechia","Week 25, 2025","Petrol 95 O Natural","100.2"
"Consumer price index of fuels (%)","Czechia","Week 25, 2025","Diesel","100.4"
"Consumer price index of fuels (%)","Czechia","Week 25, 2025","LPG","99.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2025","Petrol 95 O Natural","33.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2025","Diesel","32.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2025","LPG","17.86"
"Consumer price index of fuels (%)","Czechia","Week 24, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 24, 2025","Diesel","99.9"
"Consumer price index of fuels (%)","Czechia","Week 24, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2025","Petrol 95 O Natural","33.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2025","Diesel","32.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2025","LPG","17.87"
"Consumer price index of fuels (%)","Czechia","Week 23, 2025","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 23, 2025","Diesel","99.9"
"Consumer price index of fuels (%)","Czechia","Week 23, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2025","Petrol 95 O Natural","33.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2025","Diesel","32.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2025","LPG","17.89"
"Consumer price index of fuels (%)","Czechia","Week 22, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 22, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 22, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2025","Petrol 95 O Natural","33.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2025","Diesel","32.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2025","LPG","17.92"
"Consumer price index of fuels (%)","Czechia","Week 21, 2025","Petrol 95 O Natural","100.1"
"Consumer price index of fuels (%)","Czechia","Week 21, 2025","Diesel","99.8"
"Consumer price index of fuels (%)","Czechia","Week 21, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2025","Petrol 95 O Natural","33.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2025","Diesel","32.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2025","LPG","17.95"
"Consumer price index of fuels (%)","Czechia","Week 20, 2025","Petrol 95 O Natural","99.6"
"Consumer price index of fuels (%)","Czechia","Week 20, 2025","Diesel","99.2"
"Consumer price index of fuels (%)","Czechia","Week 20, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2025","Petrol 95 O Natural","34.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2025","Diesel","32.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2025","LPG","17.98"
"Consumer price index of fuels (%)","Czechia","Week 19, 2025","Petrol 95 O Natural","99.5"
"Consumer price index of fuels (%)","Czechia","Week 19, 2025","Diesel","99.3"
"Consumer price index of fuels (%)","Czechia","Week 19, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2025","Petrol 95 O Natural","34.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2025","Diesel","33.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2025","LPG","17.99"
"Consumer price index of fuels (%)","Czechia","Week 18, 2025","Petrol 95 O Natural","99.8"
"Consumer price index of fuels (%)","Czechia","Week 18, 2025","Diesel","99.7"
"Consumer price index of fuels (%)","Czechia","Week 18, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2025","Petrol 95 O Natural","34.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2025","Diesel","33.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2025","LPG","18.01"
"Consumer price index of fuels (%)","Czechia","Week 17, 2025","Petrol 95 O Natural","99.3"
"Consumer price index of fuels (%)","Czechia","Week 17, 2025","Diesel","99.1"
"Consumer price index of fuels (%)","Czechia","Week 17, 2025","LPG","99.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2025","Petrol 95 O Natural","34.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2025","Diesel","33.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2025","LPG","18.05"
"Consumer price index of fuels (%)","Czechia","Week 16, 2025","Petrol 95 O Natural","98.5"
"Consumer price index of fuels (%)","Czechia","Week 16, 2025","Diesel","97.5"
"Consumer price index of fuels (%)","Czechia","Week 16, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2025","Petrol 95 O Natural","35.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2025","Diesel","34.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2025","LPG","18.05"
"Consumer price index of fuels (%)","Czechia","Week 15, 2025","Petrol 95 O Natural","100.6"
"Consumer price index of fuels (%)","Czechia","Week 15, 2025","Diesel","100.1"
"Consumer price index of fuels (%)","Czechia","Week 15, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2025","Petrol 95 O Natural","34.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2025","Diesel","34.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2025","LPG","18.07"
"Consumer price index of fuels (%)","Czechia","Week 14, 2025","Petrol 95 O Natural","100.3"
"Consumer price index of fuels (%)","Czechia","Week 14, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 14, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2025","Petrol 95 O Natural","34.71"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2025","Diesel","34.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2025","LPG","18.07"
"Consumer price index of fuels (%)","Czechia","Week 13, 2025","Petrol 95 O Natural","99.2"
"Consumer price index of fuels (%)","Czechia","Week 13, 2025","Diesel","99.2"
"Consumer price index of fuels (%)","Czechia","Week 13, 2025","LPG","99.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2025","Petrol 95 O Natural","35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2025","Diesel","34.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2025","LPG","18.18"
"Consumer price index of fuels (%)","Czechia","Week 12, 2025","Petrol 95 O Natural","98.3"
"Consumer price index of fuels (%)","Czechia","Week 12, 2025","Diesel","98.3"
"Consumer price index of fuels (%)","Czechia","Week 12, 2025","LPG","99.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2025","Petrol 95 O Natural","35.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2025","Diesel","35.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2025","LPG","18.23"
"Consumer price index of fuels (%)","Czechia","Week 11, 2025","Petrol 95 O Natural","98.4"
"Consumer price index of fuels (%)","Czechia","Week 11, 2025","Diesel","98.7"
"Consumer price index of fuels (%)","Czechia","Week 11, 2025","LPG","100.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2025","Petrol 95 O Natural","36.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2025","Diesel","35.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2025","LPG","18.22"
"Consumer price index of fuels (%)","Czechia","Week 10, 2025","Petrol 95 O Natural","99.1"
"Consumer price index of fuels (%)","Czechia","Week 10, 2025","Diesel","98.9"
"Consumer price index of fuels (%)","Czechia","Week 10, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2025","Petrol 95 O Natural","36.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2025","Diesel","36.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2025","LPG","18.22"
"Consumer price index of fuels (%)","Czechia","Week 09, 2025","Petrol 95 O Natural","100"
"Consumer price index of fuels (%)","Czechia","Week 09, 2025","Diesel","100"
"Consumer price index of fuels (%)","Czechia","Week 09, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2025","Petrol 95 O Natural","36.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2025","Diesel","36.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2025","LPG","18.23"
"Consumer price index of fuels (%)","Czechia","Week 08, 2025","Petrol 95 O Natural","100.2"
"Consumer price index of fuels (%)","Czechia","Week 08, 2025","Diesel","100.3"
"Consumer price index of fuels (%)","Czechia","Week 08, 2025","LPG","100.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2025","Petrol 95 O Natural","36.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2025","Diesel","35.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2025","LPG","18.14"
"Consumer price index of fuels (%)","Czechia","Week 07, 2025","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 07, 2025","Diesel","99.9"
"Consumer price index of fuels (%)","Czechia","Week 07, 2025","LPG","100.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2025","Petrol 95 O Natural","36.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2025","Diesel","36.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2025","LPG","18"
"Consumer price index of fuels (%)","Czechia","Week 06, 2025","Petrol 95 O Natural","99.2"
"Consumer price index of fuels (%)","Czechia","Week 06, 2025","Diesel","99"
"Consumer price index of fuels (%)","Czechia","Week 06, 2025","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2025","Petrol 95 O Natural","36.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2025","Diesel","36.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2025","LPG","18.02"
"Consumer price index of fuels (%)","Czechia","Week 05, 2025","Petrol 95 O Natural","100.8"
"Consumer price index of fuels (%)","Czechia","Week 05, 2025","Diesel","100.8"
"Consumer price index of fuels (%)","Czechia","Week 05, 2025","LPG","100.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2025","Petrol 95 O Natural","36.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2025","Diesel","36.08"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2025","LPG","17.89"
"Consumer price index of fuels (%)","Czechia","Week 04, 2025","Petrol 95 O Natural","101.4"
"Consumer price index of fuels (%)","Czechia","Week 04, 2025","Diesel","101.7"
"Consumer price index of fuels (%)","Czechia","Week 04, 2025","LPG","100.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2025","Petrol 95 O Natural","36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2025","Diesel","35.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2025","LPG","17.79"
"Consumer price index of fuels (%)","Czechia","Week 03, 2025","Petrol 95 O Natural","100.6"
"Consumer price index of fuels (%)","Czechia","Week 03, 2025","Diesel","100.7"
"Consumer price index of fuels (%)","Czechia","Week 03, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2025","Petrol 95 O Natural","35.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2025","Diesel","35.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2025","LPG","17.79"
"Consumer price index of fuels (%)","Czechia","Week 02, 2025","Petrol 95 O Natural","100.5"
"Consumer price index of fuels (%)","Czechia","Week 02, 2025","Diesel","100.9"
"Consumer price index of fuels (%)","Czechia","Week 02, 2025","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2024","Petrol 95 O Natural","35.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2024","Diesel","34.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2024","LPG","17.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2024","Petrol 95 O Natural","35.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2024","Diesel","35.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2024","LPG","17.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2024","Petrol 95 O Natural","35.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2024","Diesel","35.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2024","LPG","17.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2024","Petrol 95 O Natural","35.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2024","Diesel","35.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2024","LPG","17.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2024","Petrol 95 O Natural","35.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2024","Diesel","34.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2024","LPG","17.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2024","Petrol 95 O Natural","35.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2024","Diesel","34.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2024","LPG","17.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2024","Petrol 95 O Natural","35.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2024","Diesel","34.41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2024","LPG","17.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2024","Petrol 95 O Natural","35.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2024","Diesel","34.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2024","LPG","17.08"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2024","Petrol 95 O Natural","35.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2024","Diesel","34.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2024","LPG","17.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2024","Petrol 95 O Natural","35.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2024","Diesel","34.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2024","LPG","17.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2024","Petrol 95 O Natural","35.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2024","Diesel","33.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2024","LPG","17.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2024","Petrol 95 O Natural","35.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2024","Diesel","33.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2024","LPG","17.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2024","Petrol 95 O Natural","35.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2024","Diesel","33.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2024","LPG","17.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2024","Petrol 95 O Natural","35.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2024","Diesel","33.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2024","LPG","17.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2024","Petrol 95 O Natural","36.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2024","Diesel","34.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2024","LPG","17.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2024","Petrol 95 O Natural","36.95"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2024","Diesel","35.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2024","LPG","17.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2024","Petrol 95 O Natural","37.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2024","Diesel","35.54"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2024","LPG","17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2024","Petrol 95 O Natural","37.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2024","Diesel","35.98"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2024","LPG","17.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2024","Petrol 95 O Natural","37.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2024","Diesel","36.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2024","LPG","17.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2024","Petrol 95 O Natural","38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2024","Diesel","36.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2024","LPG","17.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2024","Petrol 95 O Natural","38.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2024","Diesel","36.84"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2024","LPG","17.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2024","Petrol 95 O Natural","38.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2024","Diesel","37.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2024","LPG","17.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2024","Petrol 95 O Natural","38.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2024","Diesel","37.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2024","LPG","17.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2024","Petrol 95 O Natural","38.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2024","Diesel","37.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2024","LPG","17.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2024","Petrol 95 O Natural","38.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2024","Diesel","37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2024","LPG","17.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2024","Petrol 95 O Natural","37.98"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2024","Diesel","36.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2024","LPG","17.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2024","Petrol 95 O Natural","37.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2024","Diesel","35.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2024","LPG","17.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2024","Petrol 95 O Natural","37.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2024","Diesel","36.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2024","LPG","17.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2024","Petrol 95 O Natural","38.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2024","Diesel","36.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2024","LPG","17.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2024","Petrol 95 O Natural","39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2024","Diesel","37.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2024","LPG","17.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2024","Petrol 95 O Natural","39.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2024","Diesel","37.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2024","LPG","17.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2024","Petrol 95 O Natural","39.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2024","Diesel","38.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2024","LPG","17.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2024","Petrol 95 O Natural","40.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2024","Diesel","38.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2024","LPG","17.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2024","Petrol 95 O Natural","40.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2024","Diesel","39.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2024","LPG","17.43"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2024","Petrol 95 O Natural","40.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2024","Diesel","39.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2024","LPG","17.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2024","Petrol 95 O Natural","40.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2024","Diesel","39.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2024","LPG","17.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2024","Petrol 95 O Natural","39.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2024","Diesel","39.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2024","LPG","17.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2024","Petrol 95 O Natural","39.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2024","Diesel","38.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2024","LPG","17.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2024","Petrol 95 O Natural","38.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2024","Diesel","38.53"
