origin,target,h,model,mm_forecast,mm_actual,cumulative_log_forecast,cumulative_log_actual
2019-06,2019-11,5,CORE_GAP_ADAPT_R14,,0.0,,0.888966054123954
2019-06,2019-12,6,CORE_GAP_ADAPT_R14,,0.1,,0.9889160874323073
2019-06,2020-01,7,CORE_GAP_ADAPT_R14,,0.8,,1.785733052349995
2019-06,2020-02,8,CORE_GAP_ADAPT_R14,,0.7,,2.483294425992519
2019-06,2020-03,9,CORE_GAP_ADAPT_R14,,-0.3,,2.1828435239626467
2019-06,2020-04,10,CORE_GAP_ADAPT_R14,,0.2,,2.3826437902299524
2019-06,2020-05,11,CORE_GAP_ADAPT_R14,,0.7,,3.0802051638724763
2019-06,2020-06,12,CORE_GAP_ADAPT_R14,,0.5,,3.5789593149763834
2019-06,2019-07,1,CORE_GAP_RF_R14,,1.0,,0.9950330853168083
2019-06,2019-08,2,CORE_GAP_RF_R14,,0.2,,1.1948333515841139
2019-06,2019-09,3,CORE_GAP_RF_R14,,-0.9,,0.29075888636920755
