origin,series,stamp_t_minus_1,stamp_t,clock,t_minus_1_visible,t_visible
2023-06,agri4,2023-06-25 22:00:00+00:00,2023-07-25 22:00:00+00:00,2023-07-12 21:59:00+00:00,True,False
2023-06,food_ppi,2023-06-15 22:00:00+00:00,2023-07-16 22:00:00+00:00,2023-07-12 21:59:00+00:00,True,False
2023-06,food,2023-06-12 07:00:00+00:00,2023-07-13 07:00:00+00:00,2023-07-12 21:59:00+00:00,True,False
2023-07,agri4,2023-07-25 22:00:00+00:00,2023-08-25 22:00:00+00:00,2023-08-09 21:59:00+00:00,True,False
2023-07,food_ppi,2023-07-16 22:00:00+00:00,2023-08-15 22:00:00+00:00,2023-08-09 21:59:00+00:00,True,False
2023-07,food,2023-07-13 07:00:00+00:00,2023-08-10 07:00:00+00:00,2023-08-09 21:59:00+00:00,True,False
2023-08,agri4,2023-08-25 22:00:00+00:00,2023-09-25 22:00:00+00:00,2023-09-10 21:59:00+00:00,True,False
2023-08,food_ppi,2023-08-15 22:00:00+00:00,2023-09-15 22:00:00+00:00,2023-09-10 21:59:00+00:00,True,False
2023-08,food,2023-08-10 07:00:00+00:00,2023-09-11 07:00:00+00:00,2023-09-10 21:59:00+00:00,True,False
2023-09,agri4,2023-09-25 22:00:00+00:00,2023-10-25 22:00:00+00:00,2023-10-09 21:59:00+00:00,True,False
2023-09,food_ppi,2023-09-15 22:00:00+00:00,2023-10-15 22:00:00+00:00,2023-10-09 21:59:00+00:00,True,False
2023-09,food,2023-09-11 07:00:00+00:00,2023-10-10 07:00:00+00:00,2023-10-09 21:59:00+00:00,True,False
2023-10,agri4,2023-10-25 22:00:00+00:00,2023-11-25 23:00:00+00:00,2023-11-09 22:59:00+00:00,True,False
2023-10,food_ppi,2023-10-15 22:00:00+00:00,2023-11-15 23:00:00+00:00,2023-11-09 22:59:00+00:00,True,False
2023-10,food,2023-10-10 07:00:00+00:00,2023-11-10 08:00:00+00:00,2023-11-09 22:59:00+00:00,True,False
2023-11,agri4,2023-11-25 23:00:00+00:00,2023-12-25 23:00:00+00:00,2023-12-10 22:59:00+00:00,True,False
2023-11,food_ppi,2023-11-15 23:00:00+00:00,2023-12-15 23:00:00+00:00,2023-12-10 22:59:00+00:00,True,False
2023-11,food,2023-11-10 08:00:00+00:00,2023-12-11 08:00:00+00:00,2023-12-10 22:59:00+00:00,True,False
2023-12,agri4,2023-12-25 23:00:00+00:00,2024-01-25 23:00:00+00:00,2024-01-10 22:59:00+00:00,True,False
2023-12,food_ppi,2023-12-15 23:00:00+00:00,2024-01-16 23:00:00+00:00,2024-01-10 22:59:00+00:00,True,False
2023-12,food,2023-12-11 08:00:00+00:00,2024-01-11 08:00:00+00:00,2024-01-10 22:59:00+00:00,True,False
2024-01,agri4,2024-01-25 23:00:00+00:00,2024-02-25 23:00:00+00:00,2024-02-14 22:59:00+00:00,True,False
2024-01,food_ppi,2024-01-16 23:00:00+00:00,2024-02-24 23:00:00+00:00,2024-02-14 22:59:00+00:00,True,False
2024-01,food,2024-01-11 08:00:00+00:00,2024-02-15 08:00:00+00:00,2024-02-14 22:59:00+00:00,True,False
2024-02,agri4,2024-02-25 23:00:00+00:00,2024-03-25 23:00:00+00:00,2024-03-10 22:59:00+00:00,True,False
2024-02,food_ppi,2024-02-24 23:00:00+00:00,2024-03-15 23:00:00+00:00,2024-03-10 22:59:00+00:00,True,False
2024-02,food,2024-02-15 08:00:00+00:00,2024-03-11 08:00:00+00:00,2024-03-10 22:59:00+00:00,True,False
2024-03,agri4,2024-03-25 23:00:00+00:00,2024-04-25 22:00:00+00:00,2024-04-09 21:59:00+00:00,True,False
2024-03,food_ppi,2024-03-15 23:00:00+00:00,2024-04-19 22:00:00+00:00,2024-04-09 21:59:00+00:00,True,False
2024-03,food,2024-03-11 08:00:00+00:00,2024-04-10 07:00:00+00:00,2024-04-09 21:59:00+00:00,True,False
2024-04,agri4,2024-04-25 22:00:00+00:00,2024-05-25 22:00:00+00:00,2024-05-12 21:59:00+00:00,True,False
2024-04,food_ppi,2024-04-19 22:00:00+00:00,2024-05-19 22:00:00+00:00,2024-05-12 21:59:00+00:00,True,False
2024-04,food,2024-04-10 07:00:00+00:00,2024-05-13 07:00:00+00:00,2024-05-12 21:59:00+00:00,True,False
2024-05,agri4,2024-05-25 22:00:00+00:00,2024-06-25 22:00:00+00:00,2024-06-10 21:59:00+00:00,True,False
2024-05,food_ppi,2024-05-19 22:00:00+00:00,2024-06-15 22:00:00+00:00,2024-06-10 21:59:00+00:00,True,False
2024-05,food,2024-05-13 07:00:00+00:00,2024-06-11 07:00:00+00:00,2024-06-10 21:59:00+00:00,True,False
2024-06,agri4,2024-06-25 22:00:00+00:00,2024-07-25 22:00:00+00:00,2024-07-09 21:59:00+00:00,True,False
2024-06,food_ppi,2024-06-15 22:00:00+00:00,2024-07-16 22:00:00+00:00,2024-07-09 21:59:00+00:00,True,False
2024-06,food,2024-06-11 07:00:00+00:00,2024-07-10 07:00:00+00:00,2024-07-09 21:59:00+00:00,True,False
2024-07,agri4,2024-07-25 22:00:00+00:00,2024-08-25 22:00:00+00:00,2024-08-11 21:59:00+00:00,True,False
2024-07,food_ppi,2024-07-16 22:00:00+00:00,2024-08-15 22:00:00+00:00,2024-08-11 21:59:00+00:00,True,False
2024-07,food,2024-07-10 07:00:00+00:00,2024-08-12 07:00:00+00:00,2024-08-11 21:59:00+00:00,True,False
2024-08,agri4,2024-08-25 22:00:00+00:00,2024-09-25 22:00:00+00:00,2024-09-09 21:59:00+00:00,True,False
2024-08,food_ppi,2024-08-15 22:00:00+00:00,2024-09-15 22:00:00+00:00,2024-09-09 21:59:00+00:00,True,False
2024-08,food,2024-08-12 07:00:00+00:00,2024-09-10 07:00:00+00:00,2024-09-09 21:59:00+00:00,True,False
2024-09,agri4,2024-09-25 22:00:00+00:00,2024-10-25 22:00:00+00:00,2024-10-09 21:59:00+00:00,True,False
2024-09,food_ppi,2024-09-15 22:00:00+00:00,2024-10-15 22:00:00+00:00,2024-10-09 21:59:00+00:00,True,False
2024-09,food,2024-09-10 07:00:00+00:00,2024-10-10 07:00:00+00:00,2024-10-09 21:59:00+00:00,True,False
2024-10,agri4,2024-10-25 22:00:00+00:00,2024-11-25 23:00:00+00:00,2024-11-10 22:59:00+00:00,True,False
2024-10,food_ppi,2024-10-15 22:00:00+00:00,2024-11-15 23:00:00+00:00,2024-11-10 22:59:00+00:00,True,False
2024-10,food,2024-10-10 07:00:00+00:00,2024-11-11 08:00:00+00:00,2024-11-10 22:59:00+00:00,True,False
2024-11,agri4,2024-11-25 23:00:00+00:00,2024-12-25 23:00:00+00:00,2024-12-09 22:59:00+00:00,True,False
2024-11,food_ppi,2024-11-15 23:00:00+00:00,2024-12-15 23:00:00+00:00,2024-12-09 22:59:00+00:00,True,False
2024-11,food,2024-11-11 08:00:00+00:00,2024-12-10 08:00:00+00:00,2024-12-09 22:59:00+00:00,True,False
2024-12,agri4,2024-12-25 23:00:00+00:00,2025-01-25 23:00:00+00:00,2025-01-12 22:59:00+00:00,True,False
2024-12,food_ppi,2024-12-15 23:00:00+00:00,2025-01-16 23:00:00+00:00,2025-01-12 22:59:00+00:00,True,False
2024-12,food,2024-12-10 08:00:00+00:00,2025-01-13 08:00:00+00:00,2025-01-12 22:59:00+00:00,True,False
2025-01,agri4,2025-01-25 23:00:00+00:00,2025-02-25 23:00:00+00:00,2025-02-05 22:59:00+00:00,True,False
2025-01,food_ppi,2025-01-16 23:00:00+00:00,2025-02-24 23:00:00+00:00,2025-02-05 22:59:00+00:00,True,False
2025-01,food,2025-01-13 08:00:00+00:00,2025-02-12 08:00:00+00:00,2025-02-05 22:59:00+00:00,True,False
