area,model_use,reference,ticker,transform,first,last,n,exact_share,equal_after_rounding,within_tol,tol,mean_abs_gap,max_abs_gap,corr,exact_share_2000on,max_abs_gap_2000on,exact_share_2015on,max_abs_gap_2015on,verdict,largest_gaps,note
Surveys and labour,path_live E6 wages y/y,czso.wages_headline nom_yoy_pct,CZNWYOY Index,published y/y (quarter),2015Q1,2026Q1,45,0.1556,0.2222,,,0.3113370639,2.0,0.9737,0.1556,2.0,0.1556,2.0,different,2026Q1: 6.1 vs 8.1; 2024Q4: 6.2 vs 7.2; 2019Q3: 7.7 vs 6.88052,
Surveys and labour,wage level,czso.wages_headline avg_wage_czk,CZNWWAGE Index,level (quarter),,,6,,,,,,,,,,,,not testable,,fewer than 8 overlapping observations
Surveys and labour,path_step4 labour cost index y/y,"Eurostat lc_lci_r2_q D11 B-S NSA, y/y (data/eurostat_lci_cz_quarterly.csv)",LNTNCZ Index,y/y from level (4 quarters),2001Q1,2026Q1,101,0.0,,0.1881,0.2,1.5699465100572227,9.6268470735547,0.8375,0.0,9.6268470735547,0.0,9.6268470735547,different,2021Q1: -2.84153 vs 6.78532; 2022Q1: 6.86164 vs 0.3125; 2017Q2: 8.35735 vs 12.8399,
Surveys and labour,housing channel hpi_yoy,"CZSO prices of old apartments, CR total, y/y (czso.hpi)",HOPICZI Index,y/y from level (4 quarters),2010Q3,2026Q1,63,0.0,,0.0476,0.5,10.473178683222597,54.80336134453781,0.466,0.0,54.80336134453781,0.0,18.248854961832052,different,2011Q1: -58.4034 vs -3.6; 2011Q2: -56.8134 vs -2.6; 2011Q3: -56.0463 vs -2.7,
"Money, rates, FX, commodities",slow block m3_yoy,y/y of ARAD SMV5M108,CZMSM3Y Index,published y/y,2003-01,2026-06,282,0.0,0.0035,,,0.5632932036357868,2.1963473543910257,0.981,0.0,2.1963473543910257,0.0,0.9551109003101175,similar,2010-06: 0.61 vs 2.80635; 2010-08: 0.56 vs 2.74437; 2010-09: 1.79 vs 3.92811,
"Money, rates, FX, commodities",slow block m3_yoy,y/y of ARAD SMV5M108,CZMSM3 Index,y/y from level,2003-01,2026-06,282,0.9043,,1.0,0.05,1.95094342371737e-05,0.005292240545262672,1.0,0.9043,0.005292240545262672,0.8043,0.005292240545262672,extremely similar,2026-06: 6.19952 vs 6.20481; 2020-12: 9.95625 vs 9.95627; 2019-12: 6.35852 vs 6.3585,
"Money, rates, FX, commodities","path_live, gap model: 3M PRIBOR monthly average",ARAD SFTP04M2206 (monetary.arad_data),PRIB03M Index,monthly mean of daily,1993-04,2026-07,400,0.7175,0.1325,,,0.003367665062837254,0.5284999999999975,1.0,0.7868,0.013999999999999346,0.7194,0.011315789473683502,similar,1997-05: 21.2885 vs 20.76; 1997-10: 15.0343 vs 15.1641; 1994-09: 8.82429 vs 8.88455,
"Money, rates, FX, commodities",CNB paper row 54,A6 row 54: cnb_arad:SFTP04M2106 (level),PRIB03M Index,last value of the month,1993-04,2026-08,401,0.9626,0.9626,,,0.001521197007481291,0.21999999999999975,1.0,0.975,0.010000000000000231,0.9429,0.010000000000000231,similar,1999-05: 6.79 vs 7.01; 1993-10: 9.56 vs 9.73; 1993-07: 12.38 vs 12.44,
"Money, rates, FX, commodities",CNB paper row 55,A6 row 55: cnb_arad:SFTP01M11 (percent),CZBRREPO Index,last value of the month,1995-12,2026-07,368,0.9891,0.9891,,,0.002717391304347826,0.25,1.0,0.9875,0.25,1.0,0.0,similar,2002-10: 2.75 vs 3; 2003-07: 2 vs 2.25; 2005-03: 2 vs 2.25,
"Money, rates, FX, commodities",CNB paper row 53,A6 row 53: cnb_arad:SVSDM12 (percent),GTCZK10Y Govt,monthly mean of daily,2007-03,2026-07,233,0.0,0.0,,,0.04472697576866863,0.308412795103826,0.9991,0.0,0.308412795103826,0.0,0.16253048726267633,similar,2009-06: 5.14268 vs 5.45109; 2009-07: 5.13578 vs 5.41331; 2010-05: 3.85429 vs 4.10131,
"Money, rates, FX, commodities","weekly lane, R14 fuel: CNB EUR/CZK fixing (daily)",CNB daily fixing (R14 fx_daily + 2018+ capture),EURCZK CNB Curncy,"daily level, CZK",2004-01-02,2026-09-11,5682,0.9991,0.9991,0.9991,0.005,5.8078141499472345e-05,0.10999999999999943,1.0,0.9991,0.10999999999999943,1.0,0.0,similar,2009-02-03: 28.3 vs 28.41; 2004-06-18: 31.74 vs 31.84; 2004-10-27: 31.645 vs 31.595,
"Money, rates, FX, commodities","independent path eurczk, path drivers: CNB monthly average",monetary.fx_monthly EUR (= frozen path eurczk),EURCZK CNB Curncy,monthly mean rounded to 3 dp,1999-01,2026-08,332,0.7349,0.7349,0.7892,0.001,0.003343373493975891,0.07099999999999795,1.0,0.7625,0.054000000000002046,0.95,0.0010000000000012221,similar,1999-02: 37.786 vs 37.715; 1999-01: 35.703 vs 35.638; 1999-09: 36.298 vs 36.356,
"Money, rates, FX, commodities","nowcast eurczk_mm, path fx_mm: m/m of the monthly average",fixture core_features.eurczk_mm (= m/m of monetary.fx_monthly),EURCZK CNB Curncy,m/m of monthly mean rounded to 3 dp,2007-01,2026-08,236,0.8432,,0.9195,0.01,0.0035835040989776446,0.08904015980155644,0.9999,0.8432,0.08904015980155644,0.9,0.004147312541480375,similar,2009-09: -1.0806 vs -1.16964; 2009-12: 1.03844 vs 0.964107; 2009-11: -0.108376 vs -0.0348351,
"Money, rates, FX, commodities","weekly lane, R14 fuel: CNB EUR/CZK fixing (daily)",CNB daily fixing (R14 fx_daily + 2018+ capture),EURCZKF Curncy,"daily level, CZK",2004-01-02,2026-09-11,5712,0.0,0.0,0.0002,0.005,131.7159180672269,911.28,-0.4146,0.0,911.28,0.0,911.28,different,2022-07-12: 935.86 vs 24.58; 2022-07-13: 935.02 vs 24.4; 2022-06-21: 930.35 vs 24.685,
"Money, rates, FX, commodities","independent path eurczk, path drivers: CNB monthly average",monetary.fx_monthly EUR (= frozen path eurczk),EURCZKF Curncy,monthly mean rounded to 3 dp,1999-01,2026-08,330,0.0,0.0,0.003,0.001,129.97755454545455,852.046,-0.0478,0.0,852.046,0.0,852.046,different,2022-07: 876.623 vs 24.577; 2022-06: 867.829 vs 24.719; 2022-05: 799.767 vs 24.748,
"Money, rates, FX, commodities","nowcast eurczk_mm, path fx_mm: m/m of the monthly average",fixture core_features.eurczk_mm (= m/m of monetary.fx_monthly),EURCZKF Curncy,m/m of monthly mean rounded to 3 dp,2007-01,2026-08,236,0.0,,0.0,0.01,54.08748220669496,1571.806367391474,-0.051,0.0,1571.806367391474,0.0,682.5210022886914,different,2013-04: 1572.5 vs 0.693633; 2016-04: -682.595 vs -0.0739344; 2015-06: -515.238 vs -0.328515,
"Money, rates, FX, commodities","weekly lane, R14 fuel: CNB EUR/CZK fixing (daily)",CNB daily fixing (R14 fx_daily + 2018+ capture),EURCZK F143 Curncy,"daily level, CZK",2007-04-30,2026-09-11,4659,0.0202,0.0202,0.1925,0.005,0.0344170422837519,0.8109999999999999,0.9987,0.0202,0.8109999999999999,0.0245,0.5689999999999991,similar,2008-10-22: 26.296 vs 25.485; 2009-02-10: 28.667 vs 28.01; 2008-10-23: 25.187 vs 25.8,
"Money, rates, FX, commodities","independent path eurczk, path drivers: CNB monthly average",monetary.fx_monthly EUR (= frozen path eurczk),EURCZK F143 Curncy,monthly mean rounded to 3 dp,2007-04,2026-08,224,0.0446,0.0446,0.1384,0.001,0.012419642857142683,0.2970000000000006,0.9997,0.0446,0.2970000000000006,0.05,0.05100000000000193,similar,2008-06: 24.017 vs 24.314; 2007-04: 28.158 vs 28.01; 2007-08: 27.935 vs 27.858,
"Money, rates, FX, commodities","nowcast eurczk_mm, path fx_mm: m/m of the monthly average",fixture core_features.eurczk_mm (= m/m of monetary.fx_monthly),EURCZK F143 Curncy,m/m of monthly mean rounded to 3 dp,2007-05,2026-08,223,0.0135,,0.1704,0.01,0.1102036767793689,10.901661263754436,0.8847,0.0135,10.901661263754436,0.0214,0.21876543920544833,different,2008-06: -14.0254 vs -3.12375; 2008-07: -2.01524 vs -3.22859; 2007-05: 0.308971 vs 0.789004,
"Money, rates, FX, commodities","weekly lane, R14 fuel: CNB EUR/CZK fixing (daily)",CNB daily fixing (R14 fx_daily + 2018+ capture),EURCZK BFIX Curncy,"daily level, CZK",2007-04-30,2026-09-11,4660,0.0157,0.0157,0.1845,0.005,0.03496373390557944,0.7070000000000007,0.9986,0.0157,0.7070000000000007,0.0194,0.5420000000000016,similar,2008-10-22: 26.192 vs 25.485; 2008-10-23: 25.148 vs 25.8; 2009-02-10: 28.653 vs 28.01,
"Money, rates, FX, commodities","independent path eurczk, path drivers: CNB monthly average",monetary.fx_monthly EUR (= frozen path eurczk),EURCZK BFIX Curncy,monthly mean rounded to 3 dp,2007-04,2026-08,224,0.0446,0.0446,0.1384,0.001,0.012531249999999803,0.31099999999999994,0.9997,0.0446,0.31099999999999994,0.0429,0.05600000000000094,similar,2008-06: 24.003 vs 24.314; 2007-04: 28.166 vs 28.01; 2009-10: 25.9 vs 25.836,
"Money, rates, FX, commodities","nowcast eurczk_mm, path fx_mm: m/m of the monthly average",fixture core_features.eurczk_mm (= m/m of monetary.fx_monthly),EURCZK BFIX Curncy,m/m of monthly mean rounded to 3 dp,2007-05,2026-08,223,0.009,,0.1614,0.01,0.11207787500349164,10.8963762220452,0.8852,0.009,10.8963762220452,0.0143,0.20821517641558218,different,2008-06: -14.0201 vs -3.12375; 2008-07: -1.95809 vs -3.22859; 2007-05: 0.28048 vs 0.789004,
"Money, rates, FX, commodities","weekly lane, R14 fuel: CNB EUR/CZK fixing (daily)",CNB daily fixing (R14 fx_daily + 2018+ capture),EURCZK Curncy,"daily level, CZK",2004-01-02,2026-09-11,5713,0.0165,0.0165,0.1714,0.005,0.03666287414668304,0.7110000000000021,0.9995,0.0165,0.7110000000000021,0.0238,0.5839999999999996,similar,2008-10-22: 26.196 vs 25.485; 2008-10-23: 25.151 vs 25.8; 2009-02-10: 28.656 vs 28.01,
"Money, rates, FX, commodities","independent path eurczk, path drivers: CNB monthly average",monetary.fx_monthly EUR (= frozen path eurczk),EURCZK Curncy,monthly mean rounded to 3 dp,1999-01,2026-08,332,0.0331,0.0331,0.1205,0.001,0.013599397590361415,0.1739999999999995,1.0,0.0312,0.1739999999999995,0.0429,0.062000000000001165,similar,2001-12: 32.418 vs 32.592; 1999-01: 35.769 vs 35.638; 1999-10: 36.671 vs 36.587,
"Money, rates, FX, commodities","nowcast eurczk_mm, path fx_mm: m/m of the monthly average",fixture core_features.eurczk_mm (= m/m of monetary.fx_monthly),EURCZK Curncy,m/m of monthly mean rounded to 3 dp,2007-01,2026-08,236,0.0085,,0.1653,0.01,0.05565661453047069,0.37042468996331124,0.9981,0.0085,0.37042468996331124,0.0143,0.23503066258108118,similar,2009-03: -4.69243 vs -4.32201; 2008-09: 0.563763 vs 0.868813; 2011-11: 2.71032 vs 2.4348,
"Money, rates, FX, commodities",R14 fuel: CNB USD/CZK fixing (daily),CNB daily USD fixing (R14 fx_daily),USDCZK CNB Curncy,"daily level, CZK",2004-01-02,2026-09-09,5692,0.9998,0.9998,0.9998,0.005,6.377371749824307e-05,0.36299999999999955,1.0,0.9998,0.36299999999999955,1.0,0.0,similar,2009-02-03: 22.47 vs 22.107,
"Money, rates, FX, commodities",R14 fuel: CNB USD/CZK fixing (daily),CNB daily USD fixing (R14 fx_daily),USDCZKF Curncy,"daily level, CZK",,,0,,,,,,,,,,,,not testable,,series unavailable
"Money, rates, FX, commodities",R14 fuel: CNB USD/CZK fixing (daily),CNB daily USD fixing (R14 fx_daily),USDCZK F143 Curncy,"daily level, CZK",2007-02-28,2026-09-09,4910,0.0006,0.0006,0.0599,0.005,0.06911660081466398,0.7588000000000008,0.9991,0.0006,0.7588000000000008,0.001,0.7588000000000008,similar,2016-03-10: 24.1402 vs 24.899; 2009-02-10: 22.2937 vs 21.598; 2020-03-18: 25.4976 vs 24.834,
"Money, rates, FX, commodities",R14 fuel: CNB USD/CZK fixing (daily),CNB daily USD fixing (R14 fx_daily),USDCZK BFIX Curncy,"daily level, CZK",2007-02-28,2026-09-09,4910,0.0,0.0,0.0525,0.005,0.07258013034623219,0.7654999999999994,0.999,0.0,0.7654999999999994,0.0,0.6957000000000022,similar,2008-12-16: 18.4965 vs 19.262; 2016-03-10: 24.2033 vs 24.899; 2008-10-23: 19.4444 vs 20.139,
"Money, rates, FX, commodities",R14 fuel: CNB USD/CZK fixing (daily),CNB daily USD fixing (R14 fx_daily),USDCZK Curncy,"daily level, CZK",2004-01-02,2026-09-09,5711,0.0021,0.0021,0.0559,0.005,0.07463251619681317,0.7695000000000007,0.999,0.0021,0.7695000000000007,0.002,0.6910000000000025,similar,2008-12-16: 18.4925 vs 19.262; 2009-03-12: 20.4315 vs 21.126; 2008-10-23: 19.445 vs 20.139,
"Money, rates, FX, commodities",R14 fuel Brent (daily),EIA Europe Brent spot FOB (data/research_r14/fuel/brent_daily.csv),CO1 Comdty,"daily level, USD/bbl",1990-01-02,2026-09-01,9256,0.0058,,0.4517,0.5,0.9232443820224718,28.940000000000012,0.9988,0.0042,28.940000000000012,0.0041,28.940000000000012,similar,2026-04-07: 109.27 vs 138.21; 2026-04-08: 94.75 vs 122.11; 2026-04-13: 99.36 vs 123.28,
"Money, rates, FX, commodities",R14 fuel Brent (monthly change),m/m of EIA monthly mean,CO1 Comdty,m/m of monthly mean,1990-02,2026-09,440,0.0,,0.3068,0.5,1.3673254987839558,38.14951134809175,0.9664,0.0,38.14951134809175,0.0,38.14951134809175,different,2020-05: 21.7055 vs 59.855; 2020-04: -21.0431 vs -42.5876; 1990-08: 46.6643 vs 58.2343,
"Money, rates, FX, commodities",CNB paper row 60 Brent,A6 row 60: cnb_arad:MEDACOMOILXXUSBVALM (level),CO1 Comdty,"monthly mean, USD/bbl",1993-01,2026-06,402,0.0398,0.0398,1.0,0.05,0.0024934390517487573,0.005000000000009663,1.0,0.044,0.005000000000009663,0.0507,0.0049999999999954525,extremely similar,2014-02: 108.835 vs 108.84; 2008-09: 100.785 vs 100.79; 2011-09: 109.905 vs 109.91,
"Money, rates, FX, commodities",CNB paper row 61,log m/m of A6 row 61: cnb_arad:MEDACOMGASXXL18INDM (level),TTFGDAHD BCFV Index,log m/m of monthly mean,2011-03,2026-06,184,0.0,,0.0598,0.1,3.0100346141567456,56.623632591968935,0.9059,0.0,56.623632591968935,0.0,56.623632591968935,different,2022-10: -97.3084 vs -40.6847; 2022-11: 30.4071 vs -12.5159; 2019-11: 35.7641 vs 1.78431,
"Money, rates, FX, commodities",CNB paper row 61,log m/m of A6 row 61: cnb_arad:MEDACOMGASXXL18INDM (level),TTFGDAHD BCFV Index,log m/m of month-end value,2011-03,2026-06,184,0.0,,0.0109,0.1,13.030901537216867,151.76838620157457,0.4507,0.0,151.76838620157457,0.0,151.76838620157457,different,2022-11: 139.252 vs -12.5159; 2022-10: -152.243 vs -40.6847; 2018-02: 92.6879 vs -0.503779,
"Money, rates, FX, commodities",CNB paper row 62,log m/m of A6 row 62: cnb_arad:MEDACOMMETXXL18INDM (level),BCOMINSP Index,log m/m of monthly mean,2000-02,2026-06,317,0.0,,0.1262,0.1,0.6667304527251916,6.699856156464978,0.9845,0.0,6.699856156464978,0.0,6.699856156464978,similar,2022-03: 15.6627 vs 8.96285; 2007-01: -7.89901 vs -5.1649; 2022-07: -15.7451 vs -13.1276,
"Money, rates, FX, commodities",CNB paper row 62,log m/m of A6 row 62: cnb_arad:MEDACOMMETXXL18INDM (level),BCOMINSP Index,log m/m of month-end value,2000-02,2026-06,317,0.0,,0.0189,0.1,3.6131184300064305,17.178524887836755,0.6559,0.0,17.178524887836755,0.0,14.571941124299492,different,2011-10: 9.35986 vs -7.81866; 2011-09: -22.3891 vs -6.17319; 2022-07: 1.44431 vs -13.1276,
"Money, rates, FX, commodities",CNB paper row 63,log m/m of A6 row 63: cnb_arad:MEDACOMFODXXL18INDM (level),BCOMAGSP Index,log m/m of monthly mean,2000-02,2026-06,317,0.0,,0.0757,0.1,1.359855526268499,8.191274675695448,0.9168,0.0,8.191274675695448,0.0,5.910881760922138,different,2004-08: -2.45958 vs -10.6509; 2024-12: 1.03523 vs 6.94611; 2022-07: -14.5541 vs -9.24551,
"Money, rates, FX, commodities",CNB paper row 63,log m/m of A6 row 63: cnb_arad:MEDACOMFODXXL18INDM (level),BCOMAGSP Index,log m/m of month-end value,2000-02,2026-06,317,0.0,,0.0221,0.1,3.5367164903097477,19.8334148494415,0.5425,0.0,19.8334148494415,0.0,14.696208817845058,different,2011-09: -21.5136 vs -1.68022; 2008-03: -17.6199 vs 1.16109; 2004-08: 7.78012 vs -10.6509,
"Money, rates, FX, commodities",CNB paper row 58 loans,"y/y of A6 row 58: cnb_arad:SUCM100311XXX101101 (level, stock_czk)",LONSCZNF Index,y/y from level,2003-01,2026-07,283,0.0,,0.0318,0.2,4.101942314760645,24.351692044278963,0.8658,0.0,24.351692044278963,0.0,8.48512118324134,different,2008-06: 39.8757 vs 15.524; 2008-07: 33.4968 vs 13.9639; 2008-08: 29.1846 vs 13.8459,
"Money, rates, FX, commodities",CNB paper row 59 loans,"y/y of A6 row 59: cnb_arad:SUCM102211XXX101101 (level, stock_czk)",CZBLHHTV Index,y/y from level,2003-01,2026-05,281,0.0,,0.5516,0.2,0.3277601690892801,2.3147951461430782,0.999,0.0,2.3147951461430782,0.0,1.5247352109629464,similar,2014-11: 1.88696 vs 4.20176; 2014-10: 2.28609 vs 4.55736; 2003-03: 30.648 vs 28.5334,
"Money, rates, FX, commodities",CNB paper row 25 trade balance,A6 row 25: cnb_arad:SVEVZM4 (level),CZCMTRBA Index,level divided by 1,2004-01,2026-06,270,0.0,,0.0259,500.0,16874.388962962963,56466.85,0.9932,0.0,56466.85,0.0,56466.85,similar,2024-03: 54.15 vs 56521; 2024-02: 50.12 vs 52068; 2026-03: 45.32 vs 48322.1,
"Money, rates, FX, commodities",CNB paper row 57 REER,log m/m of A6 row 57: cnb_arad:SREERM103 (index_level),OECZFRAA Index,log m/m,1999-02,2026-07,330,0.0,,0.2545,0.1,0.27699963153417284,1.9397235652641065,0.9651,0.0,1.9397235652641065,0.0,1.9397235652641065,different,2015-04: -1.59155 vs 0.348178; 2015-05: 1.1147 vs -0.370683; 2002-07: 3.93255 vs 2.62406,
"Money, rates, FX, commodities",CNB paper row 57 REER,log m/m of A6 row 57: cnb_arad:SREERM103 (index_level),935.028 Index,log m/m,1999-02,2026-06,329,0.0,,0.2523,0.1,0.2932338314736426,2.2649813490593473,0.956,0.0,2.2649813490593473,0.0,2.2649813490593473,different,2025-04: 2.59095 vs 0.325965; 2025-05: -1.32808 vs 0.930239; 2023-01: 5.21972 vs 6.97784,
"Money, rates, FX, commodities",CNB paper row 56 REER,log m/m of A6 row 56: cnb_arad:SREERM101 (index_level),935.028 Index,log m/m,1999-02,2026-06,329,0.0,,0.152,0.1,0.4739719492335295,2.753971680574807,0.9031,0.0,2.753971680574807,0.0,2.753971680574807,different,2023-01: 5.21972 vs 2.46574; 2022-10: -1.92272 vs 0.72333; 2022-01: 5.16794 vs 2.76705,
Weekly pump prices,R14 fuel pump panel,"EC Oil Bulletin files, gross_petrol95",ECOBETCZ Index,"ISO week, CZK/l",2005-01-03,2026-08-31,1081,1.0,,1.0,0.01,2.163783533301438e-06,5.759999964993767e-06,1.0,1.0,5.759999964993767e-06,1.0,5.759999964993767e-06,exact,,
Weekly pump prices,nowcast weekly fuel,fixture fuel_weekly.petrol95 (CZSO CENPHMT Monday survey),ECOBETCZ Index,"ISO week, CZK/l",2016-01-04,2026-08-24,528,0.0322,,0.9943,0.2,0.005173465909090789,0.48099999999999454,1.0,0.0322,0.48099999999999454,0.0322,0.48099999999999454,extremely similar,2022-04-18: 42.861 vs 42.38; 2024-11-18: 35.204 vs 35.68; 2021-05-10: 31.599 vs 31.9,
Weekly pump prices,R14 fuel pump panel,"EC Oil Bulletin files, gross_diesel",ECOBOTCZ Index,"ISO week, CZK/l",2005-01-03,2026-08-31,1081,1.0,,1.0,0.01,2.1867252556019228e-06,5.000000015797923e-06,1.0,1.0,5.000000015797923e-06,1.0,4.9999999838235e-06,exact,,
Weekly pump prices,nowcast weekly fuel,fixture fuel_weekly.diesel (CZSO CENPHMT Monday survey),ECOBOTCZ Index,"ISO week, CZK/l",2016-01-04,2026-08-24,528,0.0189,,0.9924,0.2,0.00731560606060612,1.0960000000000036,0.9999,0.0189,1.0960000000000036,0.0189,1.0960000000000036,similar,2024-11-18: 33.644 vs 34.74; 2022-04-18: 45.406 vs 44.58; 2021-05-10: 29.674 vs 29.88,
Weekly pump prices,R14 fuel pump panel,"EC Oil Bulletin files, net_petrol95",ECOBEFCZ Index,"ISO week, CZK/l",2005-01-03,2026-08-31,1081,0.9991,,0.9991,0.01,3.0974061293730533e-05,0.03099458578468628,1.0,0.9991,0.03099458578468628,0.9983,0.03099458578468628,extremely similar,2026-07-27: 22.0203 vs 22.0513,
Weekly pump prices,R14 fuel pump panel,"EC Oil Bulletin files, net_diesel",ECOBOFCZ Index,"ISO week, CZK/l",2005-01-03,2026-08-31,1081,0.9981,,0.9981,0.01,0.0018302976944432792,1.9390065599999957,0.9999,0.9981,1.9390065599999957,0.9966,1.9390065599999957,similar,2026-07-20: 26.1187 vs 24.1797; 2026-07-27: 26.2731 vs 26.3101,
