survey_month,target_month,model,model_origin,model_h,as_of,forecast,status,survey_mean_yoy_pct,document_issue_date,source_url,pdf_sha256,availability_kind,actual,error,survey_error
2023-12,2024-12,STABLE_PIPELINE_R14B,2023-12,12,2023-12-23T00:00:00+01:00,2.5981513564444807,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,-0.38287845385362784,-0.08102981029810863
2023-12,2024-12,STABLE_LOCAL_CORE_R14B,2023-12,12,2023-12-23T00:00:00+01:00,3.4128356488849576,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.43180583858684907,-0.08102981029810863
2023-12,2024-12,STABLE_LONG_CORE_R14B,2023-12,12,2023-12-23T00:00:00+01:00,3.350337624184517,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.36930781388640854,-0.08102981029810863
2023-12,2024-12,STABLE_LONG_GAP_R14B,2023-12,12,2023-12-23T00:00:00+01:00,3.8685288859569416,estimated,2.9,2023-12-22,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_12_2023.pdf,f6664ed18a6de80d8ce021f03da346a76d5459b1787477bf8dfe1e90205f6baa,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.9810298102981085,0.887499075658833,-0.08102981029810863
2024-01,2025-01,INDEPENDENT_BRIDGE,2024-01,12,2024-01-27T00:00:00+01:00,2.3019271350734094,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,-0.5018111826835847,-0.3037383177569941
2024-01,2025-01,PIPELINE_FOOD_FUEL_R14,2024-01,12,2024-01-27T00:00:00+01:00,1.5853596855465069,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,-1.2183786322104873,-0.3037383177569941
2024-01,2025-01,PIPELINE_GAP_RIDGE_R14,2024-01,12,2024-01-27T00:00:00+01:00,3.419721766924033,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,0.6159834491670391,-0.3037383177569941
2024-01,2025-01,PIPELINE_GAP_RF_R14,2024-01,12,2024-01-27T00:00:00+01:00,4.124239992740377,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,1.3205016749833831,-0.3037383177569941
2024-01,2025-01,STABLE_PIPELINE_R14B,2024-01,12,2024-01-27T00:00:00+01:00,1.9106655585984345,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,-0.8930727591585597,-0.3037383177569941
2024-01,2025-01,STABLE_LOCAL_CORE_R14B,2024-01,12,2024-01-27T00:00:00+01:00,3.178291413302353,estimated,2.5,2024-01-26,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2024/A_inflocek_01_2024.pdf,4e81de7e5ccbb555b26d687cab7b7e9f3242646954758c3b80c0939753043ca9,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.803738317756994,0.37455309554535887,-0.3037383177569941
