scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,12,origins_2019_2021,35,12,2000,1509,24,35,-0.5607516267295859,-1.060814438120881,-0.032903805157360924,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,12,origins_2022_2023,24,12,2000,1509,13,24,-1.2298213015088046,-2.2170547117128536,-0.8367732795188504,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,12,origins_2024plus,19,12,2000,1509,8,19,-0.29841534130186875,-0.4358530285910614,-0.035487902510147606,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,12,recent_targets,31,12,2000,1509,20,31,-0.946302737865854,-1.3918323204674177,-0.04250931573962098,0.9945,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,1,full,89,12,2000,1509,78,89,-0.0005427378516508211,-0.009089879017261607,0.010767088663238975,0.54,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,1,origins_2019_2021,35,12,2000,1509,24,35,-0.0014455442484188096,-0.006449782271461603,0.00364135267584863,0.666,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,1,origins_2022_2023,24,12,2000,1509,13,24,0.0014550999023320646,-0.003417346357657418,0.03617614604446887,0.0855,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,1,origins_2024plus,30,12,2000,1509,19,30,-0.0010877339252744764,-0.005785649438375462,0.0012257141870662875,0.8805,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,1,recent_targets,31,12,2000,1509,20,31,-0.00040383920046477945,-0.005665474264762705,0.0019886612114048316,0.835,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,2,full,88,12,2000,1509,77,88,-0.003111541901219014,-0.028912634626692954,0.03195418084918492,0.582,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,2,origins_2019_2021,35,12,2000,1509,24,35,-0.008356237907760033,-0.02011965557329641,0.00544629770872619,0.831,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,2,origins_2022_2023,24,12,2000,1509,13,24,0.005977671867118238,-0.018259905396162096,0.1160461665853167,0.104,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,2,origins_2024plus,29,12,2000,1509,18,29,-0.004303844322293429,-0.021099991627141587,0.004449580574372723,0.8815,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,2,recent_targets,31,12,2000,1509,20,31,-0.0014596017876414278,-0.020965807009200227,0.010167301032254496,0.7705,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,3,full,87,12,2000,1509,76,87,-0.017090731468707605,-0.06644261387181968,0.04340330734625812,0.7285,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,3,origins_2019_2021,35,12,2000,1509,24,35,-0.03332087472406007,-0.050434862048734326,0.0014193227755135455,0.967,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,3,origins_2022_2023,24,12,2000,1509,13,24,-0.003657786384133795,-0.06533569766092749,0.19118058463360818,0.1445,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,3,origins_2024plus,28,12,2000,1509,17,28,-0.008317005329151705,-0.04169645909501404,0.009779466272226063,0.864,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,3,recent_targets,31,12,2000,1509,20,31,-0.0034829840243845774,-0.040109987777725446,0.024602018332336863,0.6945,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,4,full,86,12,2000,1509,75,86,-0.03535409005918743,-0.11380673233095687,0.05458076634270325,0.8115,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,4,origins_2019_2021,35,12,2000,1509,24,35,-0.061419817340708276,-0.08752744587238481,-0.0006902059962870292,0.977,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,4,origins_2022_2023,24,12,2000,1509,13,24,-0.014731664247825052,-0.1765518109118671,0.27652488216003757,0.2555,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,4,origins_2024plus,27,12,2000,1509,16,27,-0.019896229489538095,-0.0721137002530139,0.007467329534793285,0.908,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,4,recent_targets,31,12,2000,1509,20,31,-0.01709988913624958,-0.06705087051846104,0.03623377098002845,0.7085,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,5,full,85,12,2000,1509,74,85,-0.06981615876478584,-0.18753984163236945,0.04564464020311314,0.8895,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,5,origins_2019_2021,35,12,2000,1509,24,35,-0.11005722378188246,-0.15611398338954963,-0.009497456221505676,0.9985,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,5,origins_2022_2023,24,12,2000,1509,13,24,-0.04988786875778469,-0.33828695937173076,0.3551066136118119,0.411,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,5,origins_2024plus,26,12,2000,1509,15,26,-0.03404083894054141,-0.11637854644916742,0.005616713302087487,0.927,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,5,recent_targets,31,12,2000,1509,20,31,-0.047793330425507256,-0.10191957971034171,0.0422080688008221,0.7685,ok
paired_fast_FOOD_ECM_A005_R27,STATE_FAST_R15,FOOD_ECM_A005_R27,headline_yy,6,full,84,12,2000,1509,73,84,-0.132029617048264,-0.30707231439249855,0.022460027612846878,0.956,ok
