period,model,actual,survey_median,consensus,forecast,valid,common_valid,error,surprise,deviation,gain,big,alert,capture_ratio,closer,material_win,material_loss,direction,false_alarm
2020-04,CATEGORY_FULL_CORRECTION,-0.2,-0.2,-0.2,-0.2620149450876949,True,True,-0.062014945087694895,0.0,-0.062014945087694895,-0.062014945087694895,False,False,,False,False,False,False,False
2020-05,CATEGORY_FULL_CORRECTION,0.4,0.1,0.1,0.09008321485468743,True,True,-0.3099167851453126,0.30000000000000004,-0.009916785145312579,-0.009916785145312579,False,False,,False,False,False,False,False
2020-06,CATEGORY_FULL_CORRECTION,0.6,0.2,0.2,0.12531691839368683,True,True,-0.4746830816063131,0.39999999999999997,-0.07468308160631318,-0.07468308160631315,True,False,-0.18670770401578296,False,False,False,False,False
2020-07,CATEGORY_FULL_CORRECTION,0.4,0.2,0.2,0.4820921602187407,True,True,0.08209216021874066,0.2,0.2820921602187407,0.11790783978125935,False,True,,True,False,False,True,True
2020-08,CATEGORY_FULL_CORRECTION,0.0,0.0,0.0,0.013069996995635241,True,True,0.013069996995635241,0.0,0.013069996995635241,-0.013069996995635241,False,False,,False,False,False,False,False
2020-09,CATEGORY_FULL_CORRECTION,-0.6,-0.3,-0.3,-0.4204958049118244,True,True,0.17950419508817556,-0.3,-0.12049580491182443,0.12049580491182443,False,False,,True,False,False,True,False
2020-10,CATEGORY_FULL_CORRECTION,0.2,0.2,0.2,0.27215818536493985,True,True,0.07215818536493984,0.0,0.07215818536493984,-0.07215818536493984,False,False,,False,False,False,False,False
2020-11,CATEGORY_FULL_CORRECTION,0.0,0.1,0.1,0.03414084111130807,True,True,0.03414084111130807,-0.1,-0.06585915888869193,0.06585915888869193,False,False,,True,False,False,True,False
2020-12,CATEGORY_FULL_CORRECTION,-0.2,0.1,0.1,0.14583699821241103,True,True,0.34583699821241104,-0.30000000000000004,0.04583699821241102,-0.045836998212410995,False,False,,False,False,False,False,False
2021-01,CATEGORY_FULL_CORRECTION,1.3,0.9,0.9,0.8564782764159043,True,True,-0.4435217235840957,0.4,-0.04352172358409567,-0.04352172358409567,True,False,-0.10880430896023918,False,False,False,False,False
2021-02,CATEGORY_FULL_CORRECTION,0.2,0.3,0.3,0.36233460600092904,True,True,0.16233460600092903,-0.09999999999999998,0.06233460600092905,-0.06233460600092905,False,False,,False,False,False,False,False
2021-03,CATEGORY_FULL_CORRECTION,0.2,0.3,0.3,0.13178900558100076,True,True,-0.06821099441899925,-0.09999999999999998,-0.16821099441899923,0.03178900558100073,False,False,,True,False,False,True,False
2021-04,CATEGORY_FULL_CORRECTION,0.5,0.2,0.2,0.29993688652407546,True,True,-0.20006311347592454,0.3,0.09993688652407545,0.09993688652407545,False,False,,True,False,False,True,False
2021-05,CATEGORY_FULL_CORRECTION,0.2,0.4,0.4,0.44912363071466627,True,True,0.24912363071466626,-0.2,0.049123630714666244,-0.049123630714666244,False,False,,False,False,False,False,False
2021-06,CATEGORY_FULL_CORRECTION,0.5,0.4,0.4,0.2975476969943047,True,True,-0.20245230300569528,0.09999999999999998,-0.1024523030056953,-0.1024523030056953,False,False,,False,False,False,False,False
2021-07,CATEGORY_FULL_CORRECTION,1.0,0.5,0.5,0.6759881768007359,True,True,-0.32401182319926414,0.5,0.17598817680073586,0.17598817680073586,True,False,0.3519763536014717,True,True,False,True,False
2021-08,CATEGORY_FULL_CORRECTION,0.7,0.2,0.2,0.18417642120718786,True,True,-0.515823578792812,0.49999999999999994,-0.015823578792812154,-0.0158235787928121,True,False,-0.031647157585624315,False,False,False,False,False
2021-09,CATEGORY_FULL_CORRECTION,0.2,-0.2,-0.2,-0.2038309670489613,True,True,-0.4038309670489613,0.4,-0.003830967048961298,-0.003830967048961298,True,False,-0.009577417622403245,False,False,False,False,False
2021-10,CATEGORY_FULL_CORRECTION,1.0,0.7,0.7,0.8774949982505005,True,True,-0.12250500174949952,0.30000000000000004,0.17749499825050052,0.17749499825050052,False,False,,True,True,False,True,False
2021-11,CATEGORY_FULL_CORRECTION,0.2,0.3,0.3,0.6717178348241459,True,True,0.4717178348241459,-0.09999999999999998,0.37171783482414594,-0.37171783482414594,False,True,,False,False,True,False,True
2021-12,CATEGORY_FULL_CORRECTION,0.4,0.3,0.3,0.5278450690785419,True,True,0.12784506907854187,0.10000000000000003,0.2278450690785419,-0.02784506907854184,False,True,,False,False,False,True,True
2022-01,CATEGORY_FULL_CORRECTION,4.4,3.8,3.8,4.269005663906188,True,True,-0.1309943360938126,0.6000000000000005,0.4690056639061879,0.4690056639061879,True,True,0.7816761065103125,True,True,False,True,False
2022-02,CATEGORY_FULL_CORRECTION,1.3,0.6,0.6,0.8093639532797627,True,True,-0.4906360467202373,0.7000000000000001,0.20936395327976276,0.20936395327976276,True,True,0.2990913618282325,True,True,False,True,False
2022-03,CATEGORY_FULL_CORRECTION,1.7,1.4,1.4,1.1366007143931571,True,True,-0.5633992856068428,0.30000000000000004,-0.2633992856068428,-0.2633992856068428,False,True,,False,False,True,False,True
2022-04,CATEGORY_FULL_CORRECTION,1.8,0.9,0.9,0.6504573721822949,True,True,-1.1495426278177052,0.9,-0.2495426278177051,-0.2495426278177052,True,True,-0.27726958646411676,False,False,True,False,False
2022-05,CATEGORY_FULL_CORRECTION,1.8,1.4,1.4,1.4388336791718304,True,True,-0.3611663208281697,0.40000000000000013,0.03883367917183045,0.03883367917183045,True,False,0.0970841979295761,True,False,False,True,False
2022-06,CATEGORY_FULL_CORRECTION,1.6,1.5,1.5,1.5521751771992423,True,True,-0.04782482280075784,0.10000000000000009,0.05217517719924225,0.05217517719924225,False,False,,True,False,False,True,False
2022-07,CATEGORY_FULL_CORRECTION,1.3,1.6,1.6,1.4758650650530913,True,True,0.1758650650530913,-0.30000000000000004,-0.12413493494690875,0.12413493494690875,False,False,,True,False,False,True,False
2022-08,CATEGORY_FULL_CORRECTION,0.4,0.8,0.8,0.26540659579454356,True,True,-0.13459340420545646,-0.4,-0.5345934042054565,0.26540659579454356,True,True,1.3364835105136412,True,True,False,True,False
2022-09,CATEGORY_FULL_CORRECTION,0.8,0.2,0.2,-0.06081907400538851,True,True,-0.8608190740053886,0.6000000000000001,-0.2608190740053885,-0.2608190740053885,True,True,-0.43469845667564744,False,False,True,False,False
2022-10,CATEGORY_FULL_CORRECTION,-1.4,0.9,0.9,1.0274810938850072,True,True,2.427481093885007,-2.3,0.12748109388500717,-0.12748109388500728,True,False,-0.05542656255869877,False,False,False,False,False
2022-11,CATEGORY_FULL_CORRECTION,1.2,0.7,0.7,0.6906180272727612,True,True,-0.5093819727272387,0.5,-0.00938197272723873,-0.00938197272723873,True,False,-0.01876394545447746,False,False,False,False,False
2022-12,CATEGORY_FULL_CORRECTION,0.0,0.4,0.4,0.08162037707380697,True,True,0.08162037707380697,-0.4,-0.31837962292619304,0.31837962292619304,True,True,0.7959490573154826,True,True,False,True,False
2023-01,CATEGORY_FULL_CORRECTION,6.0,5.8,5.8,4.694203084059387,True,True,-1.305796915940613,0.20000000000000018,-1.105796915940613,-1.105796915940613,False,True,,False,False,True,False,True
2023-02,CATEGORY_FULL_CORRECTION,0.6,0.5,0.5,0.36303349759074977,True,True,-0.2369665024092502,0.09999999999999998,-0.13696650240925023,-0.13696650240925023,False,False,,False,False,False,False,False
2023-03,CATEGORY_FULL_CORRECTION,0.1,0.1,0.1,0.09559153120450241,True,True,-0.004408468795497597,0.0,-0.004408468795497597,-0.004408468795497597,False,False,,False,False,False,False,False
2023-04,CATEGORY_FULL_CORRECTION,-0.2,0.4,0.4,0.41353599559593107,True,True,0.6135359955959311,-0.6000000000000001,0.01353599559593105,-0.013535995595930994,True,False,-0.022559992659885078,False,False,False,False,False
2023-05,CATEGORY_FULL_CORRECTION,0.3,0.1,0.1,0.17608613405978546,True,True,-0.12391386594021453,0.19999999999999998,0.07608613405978545,0.07608613405978545,False,False,,True,False,False,True,False
2023-06,CATEGORY_FULL_CORRECTION,0.3,0.3,0.3,-0.0008521615526348031,True,True,-0.3008521615526348,0.0,-0.3008521615526348,-0.3008521615526348,False,True,,False,False,True,False,True
2023-07,CATEGORY_FULL_CORRECTION,0.5,0.4,0.4,0.4133243317590303,True,True,-0.08667566824096973,0.09999999999999998,0.01332433175903025,0.01332433175903025,False,False,,True,False,False,True,False
2023-08,CATEGORY_FULL_CORRECTION,0.2,0.1,0.1,0.33138101598576014,True,True,0.13138101598576013,0.1,0.23138101598576014,-0.031381015985760125,False,True,,False,False,False,True,True
2023-09,CATEGORY_FULL_CORRECTION,-0.7,-0.2,-0.2,-0.41127888115729455,True,True,0.2887211188427054,-0.49999999999999994,-0.21127888115729454,0.21127888115729454,True,True,0.42255776231458914,True,True,False,True,False
2023-10,CATEGORY_FULL_CORRECTION,0.1,0.0,0.0,0.28751696792615355,True,True,0.18751696792615355,0.1,0.28751696792615355,-0.08751696792615354,False,True,,False,False,False,True,True
2023-11,CATEGORY_FULL_CORRECTION,0.1,-0.1,-0.1,-0.013972529267124875,True,True,-0.11397252926712488,0.2,0.08602747073287513,0.08602747073287513,False,False,,True,False,False,True,False
2023-12,CATEGORY_FULL_CORRECTION,-0.4,0.0,0.0,-0.18536660160285934,True,True,0.21463339839714068,-0.4,-0.18536660160285934,0.18536660160285934,True,False,0.46341650400714834,True,True,False,True,False
2024-01,CATEGORY_FULL_CORRECTION,1.5,2.0,2.0,1.0238920673914713,True,True,-0.4761079326085287,-0.5,-0.9761079326085287,0.023892067391471317,True,True,1.9522158652170574,True,False,False,True,False
2024-02,CATEGORY_FULL_CORRECTION,0.3,0.4,0.4,0.2586090724657311,True,True,-0.04139092753426887,-0.10000000000000003,-0.1413909275342689,0.05860907246573116,False,False,,True,False,False,True,False
2024-03,CATEGORY_FULL_CORRECTION,0.1,0.1,0.1,0.09490216997255942,True,True,-0.005097830027440589,0.0,-0.005097830027440589,-0.005097830027440589,False,False,,False,False,False,False,False
2024-04,CATEGORY_FULL_CORRECTION,0.7,0.2,0.2,0.48518732441368206,True,True,-0.2148126755863179,0.49999999999999994,0.28518732441368205,0.28518732441368205,True,True,0.5703746488273642,True,True,False,True,False
2024-05,CATEGORY_FULL_CORRECTION,0.0,0.1,0.1,0.25916327643586673,True,True,0.25916327643586673,-0.1,0.15916327643586672,-0.15916327643586672,False,False,,False,False,True,False,False
2024-06,CATEGORY_FULL_CORRECTION,-0.3,0.2,0.2,0.08526341853086813,True,True,0.3852634185308681,-0.5,-0.11473658146913188,0.1147365814691319,True,False,0.22947316293826375,True,False,False,True,False
2024-07,CATEGORY_FULL_CORRECTION,0.7,0.5,0.5,0.37849882183458317,True,True,-0.3215011781654168,0.19999999999999996,-0.12150117816541683,-0.12150117816541683,False,False,,False,False,False,False,False
2024-08,CATEGORY_FULL_CORRECTION,0.3,0.0,0.0,0.04166410216464919,True,True,-0.2583358978353508,0.3,0.04166410216464919,0.041664102164649164,False,False,,True,False,False,True,False
2024-09,CATEGORY_FULL_CORRECTION,-0.4,-0.5,-0.5,-0.5936042369118433,True,True,-0.19360423691184325,0.09999999999999998,-0.09360423691184327,-0.09360423691184327,False,False,,False,False,False,False,False
2024-10,CATEGORY_FULL_CORRECTION,0.3,0.3,0.3,0.3344594797128112,True,True,0.034459479712811214,0.0,0.034459479712811214,-0.034459479712811214,False,False,,False,False,False,False,False
2024-11,CATEGORY_FULL_CORRECTION,0.1,0.2,0.2,0.10167737139323017,True,True,0.0016773713932301676,-0.1,-0.09832262860676984,0.09832262860676984,False,False,,True,False,False,True,False
2024-12,CATEGORY_FULL_CORRECTION,-0.3,0.1,0.1,-0.08496948629619597,True,True,0.21503051370380402,-0.4,-0.18496948629619597,0.184969486296196,True,False,0.4624237157404899,True,True,False,True,False
2025-01,CATEGORY_FULL_CORRECTION,1.3,1.1,1.1,1.1270003824800126,True,True,-0.1729996175199875,0.19999999999999996,0.027000382480012464,0.027000382480012464,False,False,,True,False,False,True,False
2025-02,CATEGORY_FULL_CORRECTION,0.2,0.2,0.2,0.37259483054586207,True,True,0.17259483054586205,0.0,0.17259483054586205,-0.17259483054586205,False,False,,False,False,True,False,False
2025-03,CATEGORY_FULL_CORRECTION,0.1,0.0,0.0,-0.021683226443665,True,True,-0.121683226443665,0.1,-0.021683226443665,-0.021683226443664994,False,False,,False,False,False,False,False
2025-04,CATEGORY_FULL_CORRECTION,-0.1,0.1,0.1,0.16819977707678532,True,True,0.26819977707678533,-0.2,0.06819977707678532,-0.06819977707678532,False,False,,False,False,False,False,False
2025-05,CATEGORY_FULL_CORRECTION,0.5,0.2,0.2,0.3124941282150843,True,True,-0.18750587178491568,0.3,0.11249412821508431,0.11249412821508431,False,False,,True,False,False,True,False
2025-06,CATEGORY_FULL_CORRECTION,0.3,0.2,0.2,0.24094294816954842,True,True,-0.05905705183045157,0.09999999999999998,0.04094294816954841,0.04094294816954841,False,False,,True,False,False,True,False
2025-07,CATEGORY_FULL_CORRECTION,0.5,0.5,0.5,0.6594140612457275,True,True,0.15941406124572755,0.0,0.15941406124572755,-0.15941406124572755,False,False,,False,False,True,False,False
2025-08,CATEGORY_FULL_CORRECTION,0.1,0.1,0.1,0.09218663261723876,True,True,-0.007813367382761241,0.0,-0.007813367382761241,-0.007813367382761241,False,False,,False,False,False,False,False
2025-09,CATEGORY_FULL_CORRECTION,-0.6,-0.3,-0.3,-0.5535066258220838,True,True,0.046493374177916214,-0.3,-0.2535066258220838,0.2535066258220838,False,True,,True,True,False,True,True
2025-10,CATEGORY_FULL_CORRECTION,0.5,0.3,0.3,0.31964735931029115,True,True,-0.18035264068970885,0.2,0.019647359310291157,0.019647359310291157,False,False,,True,False,False,True,False
2025-11,CATEGORY_FULL_CORRECTION,-0.3,0.1,0.1,0.025879379929289528,True,True,0.3258793799292895,-0.4,-0.07412062007071048,0.07412062007071052,True,False,0.1853015501767762,True,False,False,True,False
2025-12,CATEGORY_FULL_CORRECTION,-0.3,-0.1,-0.1,-0.3963209368906266,True,True,-0.0963209368906266,-0.19999999999999998,-0.29632093689062655,0.10367906310937339,False,True,,True,False,False,True,True
2026-01,CATEGORY_FULL_CORRECTION,0.9,0.8,0.8,0.9169648098409559,True,True,0.01696480984095583,0.09999999999999998,0.11696480984095581,0.08303519015904415,False,False,,True,False,False,True,False
2026-02,CATEGORY_FULL_CORRECTION,-0.1,0.1,0.1,0.11112771708625757,True,True,0.21112771708625758,-0.2,0.011127717086257566,-0.011127717086257566,False,False,,False,False,False,False,False
2026-03,CATEGORY_FULL_CORRECTION,0.6,0.7,0.7,0.5633172451340221,True,True,-0.03668275486597783,-0.09999999999999998,-0.1366827548659778,0.06331724513402215,False,False,,True,False,False,True,False
2026-04,CATEGORY_FULL_CORRECTION,0.5,0.4,0.4,0.4423529633118794,True,True,-0.0576470366881206,0.09999999999999998,0.04235296331187938,0.04235296331187938,False,False,,True,False,False,True,False
2026-05,CATEGORY_FULL_CORRECTION,0.1,0.3,0.3,0.397861307310043,True,True,0.297861307310043,-0.19999999999999998,0.097861307310043,-0.09786130731004303,False,False,,False,False,False,False,False
2026-06,CATEGORY_FULL_CORRECTION,-0.3,0.0,0.0,-0.07527114512948051,True,True,0.22472885487051947,-0.3,-0.07527114512948051,0.07527114512948052,False,False,,True,False,False,True,False
2026-07,CATEGORY_FULL_CORRECTION,0.6,0.6,0.6,0.5391202284715942,True,True,-0.060879771528405735,0.0,-0.060879771528405735,-0.060879771528405735,False,False,,False,False,False,False,False
2019-02,BASE_MATCHED_HALF,0.2,0.1,0.1,0.31775488058818213,True,True,0.11775488058818212,0.1,0.21775488058818213,-0.017754880588182115,False,True,,False,False,False,True,True
2019-03,BASE_MATCHED_HALF,0.2,0.1,0.1,0.09946023954165717,True,True,-0.10053976045834284,0.1,-0.0005397604583428361,-0.0005397604583428361,False,False,,False,False,False,False,False
2019-04,BASE_MATCHED_HALF,0.1,0.3,0.3,0.38710754867430486,True,True,0.2871075486743049,-0.19999999999999998,0.08710754867430487,-0.0871075486743049,False,False,,False,False,False,False,False
2019-05,BASE_MATCHED_HALF,0.7,0.4,0.4,0.2254766707170906,True,True,-0.47452332928290936,0.29999999999999993,-0.17452332928290942,-0.17452332928290942,False,False,,False,False,True,False,False
2019-06,BASE_MATCHED_HALF,0.2,0.1,0.1,0.12410329846284626,True,True,-0.07589670153715375,0.1,0.024103298462846257,0.024103298462846257,False,False,,True,False,False,True,False
2019-07,BASE_MATCHED_HALF,0.4,0.2,0.2,0.435229027763851,True,True,0.03522902776385095,0.2,0.23522902776385096,0.16477097223614906,False,True,,True,True,False,True,True
2019-08,BASE_MATCHED_HALF,0.1,0.0,0.0,0.07212027168892293,True,True,-0.027879728311077073,0.1,0.07212027168892293,0.07212027168892293,False,False,,True,False,False,True,False
2019-09,BASE_MATCHED_HALF,-0.6,-0.4,-0.4,-0.3115374275151629,True,True,0.2884625724848371,-0.19999999999999996,0.08846257248483713,-0.08846257248483713,False,False,,False,False,False,False,False
2019-10,BASE_MATCHED_HALF,0.5,0.4,0.4,0.22940611674544503,True,True,-0.27059388325455497,0.09999999999999998,-0.170593883254555,-0.170593883254555,False,False,,False,False,True,False,False
2019-11,BASE_MATCHED_HALF,0.3,0.2,0.2,0.16027885730460945,True,True,-0.13972114269539054,0.09999999999999998,-0.039721142695390566,-0.039721142695390566,False,False,,False,False,False,False,False
2019-12,BASE_MATCHED_HALF,0.2,0.1,0.1,0.015134052299833604,True,True,-0.1848659477001664,0.1,-0.0848659477001664,-0.0848659477001664,False,False,,False,False,False,False,False
2020-01,BASE_MATCHED_HALF,1.5,1.0,1.0,0.8910783646002834,True,True,-0.6089216353997166,0.5,-0.10892163539971655,-0.10892163539971655,True,False,-0.2178432707994331,False,False,False,False,False
2020-02,BASE_MATCHED_HALF,0.3,0.3,0.3,0.3016255681785912,True,True,0.001625568178591219,0.0,0.001625568178591219,-0.001625568178591219,False,False,,False,False,False,False,False
2020-03,BASE_MATCHED_HALF,-0.1,0.1,0.1,-0.2620574219510465,True,True,-0.16205742195104647,-0.2,-0.3620574219510465,0.03794257804895354,False,True,,True,False,False,True,True
