candidate,reference,omitted_period,delta_rmse,delta_mae
BASE_MATCHED_FULL,R9_BASE,2025-09,-0.005652021288842457,0.002931278930592418
BASE_MATCHED_FULL,R9_BASE,2025-10,-0.005626727205914173,0.0027022494795702623
BASE_MATCHED_FULL,R9_BASE,2025-11,-0.005884773779658681,0.002321011359453784
BASE_MATCHED_FULL,R9_BASE,2025-12,-0.0057706287806952306,0.0023269899785061665
BASE_MATCHED_FULL,R9_BASE,2026-01,-0.005732892900143782,0.002904851090954008
BASE_MATCHED_FULL,R9_BASE,2026-02,-0.006115687397241443,0.0017601750967845553
BASE_MATCHED_FULL,R9_BASE,2026-03,-0.00580031050745633,0.002027837792713094
BASE_MATCHED_FULL,R9_BASE,2026-04,-0.005863351366452774,0.0015111569841449457
BASE_MATCHED_FULL,R9_BASE,2026-05,-0.005884325482762964,0.0022922035335638524
BASE_MATCHED_FULL,R9_BASE,2026-06,-0.0057275826051673695,0.0025352280809760597
BASE_MATCHED_FULL,R9_BASE,2026-07,-0.00548391536242071,0.003630312306435013
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-02,0.0004922111001591234,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-03,0.0004925069664719617,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-04,0.0004932952826683934,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-05,0.0004950121123830087,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-06,0.0004920666261608031,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-07,0.0004921387934058719,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-08,0.0004921210073992599,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-09,0.0004925807485957057,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-10,0.0004924038279151555,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-11,0.0004923148724180204,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2019-12,0.0004921042087318028,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-01,0.0004972944602705254,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-02,0.0004920049311518682,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-03,0.0004931934426052886,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-04,0.0004920329832168169,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-05,0.0004935455735461947,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-06,0.0004956900357721006,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-07,0.0004920802363606036,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-08,0.0004919729819308216,0.00014672485967559545
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-09,0.0004924970099397519,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-10,0.000492055208687836,0.00014672485967559545
