period,model,error,weighted_core_error,noncore_reconciliation_error,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2026-06,R9_BASE,0.24160470242527793,0.042117896845496106,0.19948680557978182,0.0,0.0,0.0
2026-07,R9_BASE,-0.1523274725105414,-0.12166740945028205,-0.030660063060259368,0.0,-0.0,0.0
2019-02,R9_HALF,0.14572085298259752,0.0453917337300023,0.10032911925259519,-0.0017567523328905921,-0.00561160275874817,-0.007368355091638761
2019-03,R9_HALF,-0.10518635605515063,0.07503458627909901,-0.18022094233424962,0.000718901607065784,-0.0016748276742057488,-0.0009559260671399648
2019-04,R9_HALF,0.33315302629590515,0.024663238735487047,0.3084897875604181,-0.00015107520514081468,-0.02840911921921093,-0.02856019442435173
2019-05,R9_HALF,-0.45839594346102297,0.017449106533490064,-0.47584504999451305,-0.00030272437317760344,0.015348273425392633,0.015045549052215057
2019-06,R9_HALF,-0.1263834488091006,-0.12052285752164431,-0.005860591287456279,-0.009620702446274793,-0.0005917643823879574,-0.01021246682866275
2019-07,R9_HALF,0.040149366283238896,-0.18054986127313863,0.2206992275563775,0.0018009426053301053,-0.002171829821089595,-0.000370887215759495
2019-08,R9_HALF,-0.013671607095274874,0.045006443635320144,-0.058678050730595024,-0.0010770433048426674,0.0016674097149745695,0.0005903664101319022
2019-09,R9_HALF,0.28263159055683335,0.20699942098101726,0.07563216957581609,0.0024480201159397946,0.000882019627944592,0.0033300397438843915
2019-10,R9_HALF,-0.21482528908636983,-0.15953397592364427,-0.05529131316272551,0.020904107214141203,0.006167037609596144,0.027071144823737354
2019-11,R9_HALF,-0.11172272820796877,0.08257849683202072,-0.1943012250399895,-0.003840222750292852,0.010880252468166873,0.007040029717874024
2019-12,R9_HALF,-0.18495875832681857,-0.0016459434728012695,-0.1833128148540173,-2.96908277869846e-07,-3.402675443994263e-05,-3.432366271782089e-05
2020-01,R9_HALF,-0.5838954983232256,-0.21962582097490796,-0.3642696773483176,0.011619079339481121,0.018232525756256238,0.029851605095737255
2020-02,R9_HALF,0.020680328344514776,-0.15744482511110508,0.1781251534556199,0.0063632306486966494,-0.006788264157230344,-0.00042503350853369503
2020-03,R9_HALF,-0.15946905877354964,0.17672082187844568,-0.3361898806519953,-0.0009081357121556791,0.0017403630154533777,0.0008322273032976973
2020-04,R9_HALF,-0.11591219209715492,-0.01548758599199846,-0.10042460610515647,5.450612272154504e-05,0.00033535195920698886,0.000389858081928535
2020-05,R9_HALF,-0.22806148694459588,-0.2936646859317348,0.06560319898713896,-0.0021033243960917325,0.00047277244968529653,-0.0016305519464064472
2020-06,R9_HALF,-0.21944218874113064,0.06341894832025557,-0.2828611370613862,-0.0033067817784665377,0.02074847303977681,0.017441691261310274
2020-07,R9_HALF,0.10397861428941213,-0.25366236178628304,0.3576409760756951,0.008928849551684215,-0.012180047504425903,-0.0032511979527416928
2020-08,R9_HALF,0.04252609564169979,0.1290891839828299,-0.0865630883411301,-0.002336682759665122,0.0016260597680442578,-0.0007106229916208637
2020-09,R9_HALF,0.1972569909473028,-0.007626419897115313,0.20488341084441813,0.0001918272713014697,0.009603900783142286,0.009795728054443759
2020-10,R9_HALF,0.07093426617196402,-0.03988177628554149,0.11081604245750548,0.014605910325215278,-0.01936700109951255,-0.0047610907742972695
2020-11,R9_HALF,0.15115491697647487,0.13413102150222272,0.01702389547425215,-0.004495748783356767,-0.0006115458185561277,-0.005107294601912896
2020-12,R9_HALF,0.39002614785821643,0.15765791304392024,0.2323682348142962,-0.004683384459771751,-0.00726267759466848,-0.011946062054440237
2021-01,R9_HALF,-0.4087267441548058,-0.10143916181484285,-0.307287582339963,0.01664985808470608,0.03853030048697238,0.05518015857167846
2021-02,R9_HALF,0.30982636146478565,0.2632864616106179,0.04653989985416773,-0.0361105465526302,-0.007544351091424197,-0.0436548976440544
2021-03,R9_HALF,-0.05190204795425521,0.02411975922491823,-0.07602180717917344,0.0001984272245783809,-0.0005796088640932138,-0.0003811816395148334
2021-04,R9_HALF,-0.21401189605947796,0.00615894892003372,-0.22017084497951167,0.000528635222535619,0.013193357079686283,0.013721992302221903
2021-05,R9_HALF,0.38794204344228717,0.11627015990223397,0.2716718835400532,-0.004236978975391997,-0.01082786926405405,-0.015064848239446066
2021-06,R9_HALF,-0.15347766212027592,-0.25171900395019164,0.09824134182991573,0.008769227076077649,-0.0033116016634090325,0.005457625412668612
2021-07,R9_HALF,-0.3302781216935785,-0.20540631737842988,-0.12487180431514855,0.010973641606834922,0.006286024257219067,0.01725966586405403
2021-08,R9_HALF,-0.5335758960168344,-0.37339424609556765,-0.16018164992126682,-0.03999971523006403,-0.018606459661945716,-0.05860617489200967
2021-09,R9_HALF,-0.3178999114519989,-0.19319306526716754,-0.12470684618483137,0.0023942395244286874,0.0015214699088415802,0.003915709433270256
2021-10,R9_HALF,-0.20726110657735763,-0.22096701296408605,0.013705906386728417,0.03527397297025074,-0.0018923379269322957,0.033381635043318446
2021-11,R9_HALF,0.4982576755906593,-0.22085481090401227,0.7191124864946716,0.007280360801406031,-0.022881043491017553,-0.015600682689611511
2021-12,R9_HALF,0.473441606645287,0.3715842841235705,0.10185732252171642,-0.06566994858805866,-0.02088128876639939,-0.08655123735445805
2022-01,R9_HALF,0.020108525503009567,-0.26588091917825096,0.28598944468126053,0.024080324765725664,-0.02400669671913659,7.362804658906378e-05
2022-02,R9_HALF,-0.3527446336419586,0.17905760850575592,-0.5318022421477145,-0.022412956101132225,0.08597110720841024,0.06355815110727797
2022-03,R9_HALF,-0.7400648463744929,-0.3556169127943347,-0.38444793358015805,-0.009854600869171948,-0.010869591587784293,-0.020724192456956225
2022-04,R9_HALF,-0.989751909759317,-0.21105842780039677,-0.7786934819589202,0.0335455035917706,0.10650896922981345,0.14005447282158412
2022-05,R9_HALF,0.1288494818079149,0.3600077391732848,-0.23115825736536988,-0.06278267553518635,0.046928125869786654,-0.015854549665399682
2022-06,R9_HALF,-0.09263194719969903,0.07245232016680098,-0.16508426736649984,-0.00351419638721701,0.03767465972199484,0.03416046333477783
