period,as_of,block,weight,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2021-01,2021-02-11 23:59:00,accommodation,0.008724414,-0.061695665538543526,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
2021-01,2021-02-11 23:59:00,package_holidays,0.019151497,7.94561253294161,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
2021-01,2021-02-11 23:59:00,remaining_core_tax_reconciliation,1.0,0.03366772617705042,71,2015-02,2020-12,2021-01-13 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,actual_rent,0.036321093,0.32787948524077204,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,imputed_rent,0.106143269,-0.02650848571517439,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,catering,0.054804978,0.05332826472839414,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,accommodation,0.008724414,0.2541844605327651,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,package_holidays,0.019151497,5.565647053536194,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-02,2021-03-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.15989168914821683,72,2015-02,2021-01,2021-02-12 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,actual_rent,0.036321093,0.11235810540267765,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,imputed_rent,0.106143269,0.11040726093353362,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,catering,0.054804978,0.10823473032646347,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,accommodation,0.008724414,0.6032892309563266,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,package_holidays,0.019151497,-8.428228043072693,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-03,2021-04-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.03245487233120508,73,2015-02,2021-02,2021-03-10 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,actual_rent,0.036321093,0.20779551241899588,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,imputed_rent,0.106143269,0.28664188489325354,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,catering,0.054804978,0.14155189059262496,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,accommodation,0.008724414,1.0321045387857615,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,package_holidays,0.019151497,-1.7384395128902663,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-04,2021-05-10 23:59:00,remaining_core_tax_reconciliation,1.0,0.16339989597442744,74,2015-02,2021-03,2021-04-13 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,actual_rent,0.036321093,0.12332279146487542,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,imputed_rent,0.106143269,0.5624100687126281,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,catering,0.054804978,0.29448086892032366,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,accommodation,0.008724414,0.4477843663790165,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,package_holidays,0.019151497,-0.4278655266803085,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-05,2021-06-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.12078913678078315,75,2015-02,2021-04,2021-05-11 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,actual_rent,0.036321093,0.17151212242628983,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,imputed_rent,0.106143269,0.3843294949876611,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,catering,0.054804978,0.11247437930584303,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,accommodation,0.008724414,0.15445005593113598,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,package_holidays,0.019151497,5.38533935425755,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-06,2021-07-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.03492931137729235,76,2015-02,2021-05,2021-06-10 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,actual_rent,0.036321093,0.28326296362415626,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,imputed_rent,0.106143269,0.7278298895584627,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,catering,0.054804978,0.45305455234854397,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,accommodation,0.008724414,0.9078624385275734,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,package_holidays,0.019151497,21.67160837752085,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-07,2021-08-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.08776745511642328,77,2015-02,2021-06,2021-07-13 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,actual_rent,0.036321093,0.29944704083621665,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,imputed_rent,0.106143269,1.3125031646212388,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,catering,0.054804978,0.5647657681426553,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,accommodation,0.008724414,0.28318782170464835,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,package_holidays,0.019151497,2.4540568254614747,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-08,2021-09-09 23:59:00,remaining_core_tax_reconciliation,1.0,-0.03066913157839348,78,2015-02,2021-07,2021-08-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,actual_rent,0.036321093,-0.036339471321332834,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,imputed_rent,0.106143269,1.6741801910774967,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,catering,0.054804978,0.8480289907383574,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,accommodation,0.008724414,-0.5517102047403931,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,package_holidays,0.019151497,-21.591008709502514,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-09,2021-10-10 23:59:00,remaining_core_tax_reconciliation,1.0,0.027114952887428843,79,2015-02,2021-08,2021-09-10 09:00:00,[],estimated
2021-10,2021-11-09 23:59:00,actual_rent,0.036321093,0.18330554019365455,80,2015-02,2021-09,2021-10-11 09:00:00,[],estimated
2021-10,2021-11-09 23:59:00,imputed_rent,0.106143269,2.2120528386894547,80,2015-02,2021-09,2021-10-11 09:00:00,[],estimated
