period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2023-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.024003696614686838,-0.018698811708494086,-0.04270250832318093
2023-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0043626029910580726,0.02392014496608707,0.019557541975028996
2023-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.03214647760920418,0.04830435212385102,0.08045082973305523
2023-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0019602116923160516,-0.0038643017159967724,-0.0019040900236807212
2023-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.031367259638950575,0.029687448958898934,0.06105470859784951
2023-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.00478254453023111,0.008870194349386261,0.01365273887961737
2023-08,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.04881932723470228,0.012868636076643751,0.06168796331134603
2023-09,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.05048764720792821,0.07211956500250837,0.12260721221043658
2023-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.005835037259442406,0.00041239412020974424,-0.005422643139232661
2023-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.009155429887057424,-0.029944023879736614,-0.02078859399267919
2023-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.006334821677396647,0.004931272241903452,0.0112660939193001
2024-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.025122032081478732,0.18203161671724905,0.15690958463577032
2024-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0011953278416591481,-0.0009058075301634367,0.0002895203114957102
2024-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.003726547548824043,0.00770547288910031,0.003978925340276268
