origin,as_of,model,variable,h,target,forecast,actual,n_distinct_ulc_quarters
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,metals,12,2020-02,1.3854489160181793,-6.449918914813833,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,1,2019-03,0.09328679427826245,-0.10005003335835334,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,2,2019-04,0.4738984447083636,0.39920212695374535,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,3,2019-05,0.23305191801356734,0.09995003330835331,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,4,2019-06,0.18611141221249697,0.2995508979798479,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,5,2019-07,0.6957604273604867,0.9950330853168083,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,6,2019-08,0.12946455781502303,0.19980026626730563,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,7,2019-09,-0.3975004347444791,-0.9040744652149064,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,8,2019-10,0.52889388604576,0.5982071677547464,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,9,2019-11,0.05659707797919278,0.0,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,10,2019-12,0.33981726632218134,0.09995003330835331,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,11,2020-01,0.36573913888156606,0.7968169649176874,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,core,12,2020-02,0.4263179176121721,0.6975613736425241,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,1,2019-03,-0.8148406115829421,-1.3528713125193257,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,2,2019-04,-0.09170955435398148,0.06298098424938903,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,3,2019-05,0.27420705990362465,-0.042265483544316286,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,4,2019-06,0.5684230026860548,1.1776874542972628,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,5,2019-07,2.735847120863782,3.932226464014771,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,6,2019-08,0.36174596592294084,0.6903689369070206,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,7,2019-09,-2.692151384614941,-3.798429016335328,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,8,2019-10,0.1880755171650483,0.22242649195401162,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,9,2019-11,-0.2986771657782244,-0.5812876834545307,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,10,2019-12,0.5940208669210305,0.34886333807479947,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,11,2020-01,1.5326368508118335,2.280674804083394,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,services,12,2020-02,1.097421001535153,1.39484728315652,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,1,2019-03,0.3511811454682101,0.04585053049407032,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,2,2019-04,0.48085704798633316,0.3529617492746827,14
